player_name,equipe,positions,cluster,UMAP_1,UMAP_2,UMAP_3
Jonathan Gradit,Lens,DF,2,15.024969,8.577314,4.609295
Sebastian Nanasi,Strasbourg,"MF,FW",9,18.666517,6.453071,1.655602
Djibril Sidibé,Toulouse,DF,7,16.587967,8.102441,3.343903
Yassine Kechta,Le Havre,"MF,FW",6,18.871918,7.0783944,4.5724654
Wilfried Singo,Monaco,DF,2,14.614619,7.895951,4.618209
Hamed Junior Traorè,Auxerre,MF,0,19.80998,6.1744304,1.2825819
Azor Matusiwa,Rennes,MF,6,17.177547,7.2392964,5.064293
Achraf Hakimi,Paris S,DF,1,15.555981,5.459718,3.7748172
Vanderson,Monaco,DF,8,16.794807,8.628313,2.4003365
Lamine Camara,Monaco,MF,9,17.064095,6.7248178,2.7605257
Alexandre Lacazette,Lyon,FW,3,20.95029,8.727857,0.98445386
Nicolas Cozza,Nantes,"DF,MF",7,18.068132,9.396439,3.8306823
Warren Zaïre-Emery,Paris S,"MF,DF",1,15.751369,6.078579,4.0736656
Johann Lepenant,Nantes,MF,6,18.749743,7.439369,4.5016065
Carlens Arcus,Angers,DF,7,17.760813,9.374354,3.1678936
Vitinha,Paris S,MF,1,15.217386,5.8243136,3.9122396
Rayan Cherki,Lyon,"FW,MF",0,17.67677,5.2672505,1.4236436
Geoffrey Kondogbia,Marseille,"DF,MF",2,14.172995,7.243433,4.2425194
Nicolas Pallois,Nantes,DF,5,15.162004,10.444083,4.68139
Dylan Batubinsika,Saint,DF,5,13.910296,9.8100195,4.480025
Lucas Beraldo,Paris S,DF,2,13.8116865,7.0958323,4.1272697
Nemanja Matić,Lyon,MF,1,15.696305,6.7827697,4.245254
Josué Casimir,Le Havre,"FW,MF",0,20.249601,6.458421,0.7872156
Ainsley Maitland-Niles,Lyon,DF,8,16.882175,8.30225,2.663677
Aurélio Buta,Reims,DF,7,17.837902,9.496556,3.5756583
Dante,Nice,DF,2,14.504513,8.08791,4.559295
Jean-Eudes Aholou,Angers,MF,6,18.658764,7.653199,5.0887856
Sinaly Diomande,Auxerre,DF,5,14.830921,10.456993,4.3282266
Melvin Bard,Nice,"DF,MF",8,17.525915,8.618038,2.2957637
Youssouf Ndayishimiye,Nice,DF,2,14.456092,8.611873,4.2612443
Caio Henrique Oliveira Silva,Monaco,DF,9,16.911789,6.895596,1.988223
Thomas Meunier,Lille,DF,8,16.15582,7.7986574,2.874422
Fabián Ruiz Peña,Paris S,MF,1,16.00217,5.7239256,3.6735132
Issa Soumaré,Le Havre,"FW,MF",3,20.641216,6.968641,1.8232484
Nicolás Tagliafico,Lyon,DF,7,16.46105,7.581702,3.5858252
Zakaria Aboukhlal,Toulouse,"MF,FW",3,21.076689,7.917063,0.757692
Enzo Tchato,Montpellier,DF,7,17.643042,9.103927,3.2730868
Farid El Melali,Angers,FW,0,19.136353,6.2591925,0.5924353
Joris Chotard,Montpellier,MF,6,16.95254,8.331166,5.3597913
Lucas Stassin,Saint,FW,3,20.8889,7.9042845,1.3876526
João Neves,Paris S,"MF,DF",1,15.840287,5.682516,3.9372177
Breel Embolo,Monaco,"FW,MF",3,20.872238,7.4912186,1.0262337
Gaëtan Laborde,Nice,FW,3,20.804762,8.347697,0.74282384
Deiver Machado,Lens,"DF,MF",8,18.51305,7.9920754,2.4823005
Becir Omeragic,Montpellier,DF,5,14.426933,10.570448,4.97098
Florian Sotoca,Lens,"FW,MF",4,18.922129,6.446176,2.673521
Haris Belkebla,Angers,MF,6,17.814762,8.010119,5.4844203
