player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Johann Lepenant,Nantes,MF,6,0.3720856326925402,-0.13050322157798538,0.7985337711657048,0.10799911453915598
Carlens Arcus,Angers,DF,3,-0.7237351514687869,-0.22447231177688806,0.46479952244534656,0.031807060929157104
Vitinha,Paris S,MF,2,-0.6652468701938964,1.7364918696617595,-1.3440966474764886,-0.07480244981559087
Rayan Cherki,Lyon,"FW,MF",4,0.40614432310430165,-0.12318778460275691,-2.3554649029830492,1.134105200028959
Geoffrey Kondogbia,Marseille,"DF,MF",2,-0.7935071079690476,1.627167673350366,-0.2604121461377789,-0.28313962991971037
Nicolas Pallois,Nantes,DF,0,-0.6413437137968608,0.7493890456922394,1.8007926607063136,-0.9617424200546681
Dylan Batubinsika,Saint,DF,0,-0.6863278701414266,1.1907671045379837,1.0865111176307118,-1.4481735091559687
Lucas Beraldo,Paris S,DF,2,-1.0341904658657946,1.9894400013930642,-0.5891297594468096,-0.5148411748156094
Nemanja Matić,Lyon,MF,2,-0.2636181935722649,1.0497433784745243,-0.467829790579816,-0.31008115165598205
Josué Casimir,Le Havre,"FW,MF",7,1.0356590943148543,-1.6238719748423744,-0.7228417103101393,1.0378421434927962
Ainsley Maitland-Niles,Lyon,DF,3,-0.7450443963897045,0.3021297306286982,-0.15085178145255532,0.696368740160361
Aurélio Buta,Reims,DF,3,-0.6010893817118049,-0.2831817565450291,0.37855217644027644,-0.0649790412579493
Dante,Nice,DF,2,-0.9419124517190494,1.2466635401289412,-0.007101468613868894,-0.5482769975556365
Jean-Eudes Aholou,Angers,MF,6,0.4206161671172082,-0.13680288876106272,0.9331657930031158,-0.059173776748933704
Sinaly Diomande,Auxerre,DF,0,-0.6079922244754372,1.309862789135907,1.7792500742514037,-1.0079957089527154
Melvin Bard,Nice,"DF,MF",3,-1.0415702137948502,0.021627482806052322,-0.16007758182519471,0.6739734828637213
Youssouf Ndayishimiye,Nice,DF,0,-0.9261719409546636,1.9385482536970875,0.6309384829560404,-0.7785584349997541
Caio Henrique Oliveira Silva,Monaco,DF,3,-0.671142719331912,0.029034768835680822,-1.3619636358916127,0.3985331827707147
Thomas Meunier,Lille,DF,3,-0.8813373390524827,0.701669084482485,-0.4306909087619602,0.4311728568678687
Fabián Ruiz Peña,Paris S,MF,2,-0.39568202703799443,1.3805104070114045,-1.4503587290272437,0.2537048248005177
Issa Soumaré,Le Havre,"FW,MF",7,1.2735152037445112,-1.5181410380865594,-0.25517947448344663,0.6888806098700693
