player_name,positions,equipe,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Pierre Lees-Melou,MF,Brest,0,0.64151096,2.57597,-0.6083668,-0.011767586
Yassin Belkhdim,MF,Angers,0,0.68731534,-0.5280548,1.8232546,-0.35694575
Frank Magri,"FW,MF",Toulouse,1,3.5876303,-3.536411,0.69358075,2.2133658
Nathan Zeze,DF,Nantes,4,-0.8125074,1.9272128,1.3633182,-2.6249645
Abdoulaye Bamba,DF,Angers,4,-0.73690903,0.8111388,1.4022828,-4.0033793
Christian Mawissa,DF,Monaco,4,-1.7904444,2.6796944,1.7649833,-0.760575
Steve Mandanda,GK,Rennes,2,-3.3721287,0.2346521,1.9689175,-6.8692493
Tanguy Coulibaly,"FW,MF",Montpellier,1,1.3763491,-3.1851556,0.3798963,1.4374866
M'Bala Nzola,FW,Lens,1,3.995327,-2.8651862,0.44214818,3.0688827
Kévin Danois,MF,Auxerre,0,1.0194777,0.92174435,0.114551626,1.1639543
Christopher Wooh,DF,Rennes,4,-0.6309879,2.846054,1.8170946,-2.8267887
André Ayew,FW,Le Havre,1,3.29989,-3.392845,1.1745949,1.4707279
Georges Mikautadze,FW,Lyon,1,4.4889874,-3.4484336,-1.826248,2.7776048
Mathieu Gorgelin,GK,Le Havre,2,-2.9108384,-0.080792956,1.9303743,-6.5633907
Derek Cornelius,DF,Marseille,4,-2.924879,2.9471314,-1.1303405,-2.603869
Anass Zaroury,"FW,MF",Lens,3,-0.28670308,-1.5964752,-2.9053733,1.522825
Ali Abdi,"DF,MF",Nice,3,-0.90713996,-0.1879835,-0.21394219,2.3837526
Przemysław Frankowski,DF,Lens,3,-1.6743392,0.701225,-1.8441297,1.0933132
Malang Sarr,DF,Lens,4,-1.981436,1.7060982,-0.017223254,-3.1718378
Julien Le Cardinal,DF,Brest,4,-0.37817076,2.8673065,1.8859313,-3.407044
Radosław Majecki,GK,Monaco,2,-4.0582094,0.18619561,2.4173934,-6.368773
Emmanuel Biumla,DF,Angers,4,-2.0719528,1.2681459,2.0938783,-3.4202569
Kamory Doumbia,"MF,FW",Brest,0,2.5820577,0.97207797,-0.60726875,0.118469685
Sorba Thomas,"FW,MF",Nantes,3,-0.510387,-1.8970509,-3.0288808,1.436687
Lilian Raolisoa,"DF,FW",Angers,3,-0.8413079,-2.2854207,-1.2378764,-0.049629465
Amadou Koné,MF,Reims,0,0.6604939,1.3759336,2.1760254,-0.1785964
Osame Sahraoui,"FW,MF",Lille,1,1.4399995,-1.1469082,-2.2055094,3.2961266
André Gomes,MF,Lille,0,-0.22045705,2.1481671,-1.0708349,-0.5431668
Mathew Ryan,GK,Lens,2,-3.6207824,-0.12401651,2.1961915,-6.3035483
Emmanuel Agbadou,DF,Reims,4,-1.273461,2.5151331,-0.74813694,-2.6745186
Romain Del Castillo,FW,Brest,3,0.26191008,-2.345925,-3.7911916,1.3135571
Mostafa Mohamed,FW,Nantes,1,3.6369278,-3.8443315,0.32002014,2.0128076
Florian Tardieu,MF,Saint,0,-0.1399051,1.2906436,-1.528324,-1.6568393
Arouna Sangante,DF,Le Havre,4,-1.7947973,4.203474,1.6573354,-2.3930373
Abdallah Sima,"FW,MF",Brest,1,3.624801,-3.1847832,-0.21944456,1.5557698
Tanner Tessmann,MF,Lyon,0,0.6444172,2.229779,-0.15536004,-0.8270892
Lilian Brassier,DF,Rennes,4,-1.8178416,2.7849236,-0.3029521,-2.3528626
Falaye Sacko,DF,Montpellier,0,-1.727719,-1.0288912,1.3276143,-1.7357848
Mika Biereth,FW,Monaco,1,5.1383514,-2.8256907,-1.3008534,2.7747378
Leo Skiri Østigård,DF,Rennes,4,-1.661494,2.4016597,1.4811168,-2.1869266
Ngal'Ayel Mukau,MF,Lille,0,0.55425054,1.0792835,0.8982252,0.3329718
Shavy Babicka,"MF,FW",Toulouse,1,2.755249,-3.1252842,-0.9659547,2.3440213
Jordan James,MF,Rennes,0,1.0509474,0.70148194,-0.5393033,0.37843448
Christopher Operi,"DF,FW",Le Havre,3,-1.2359604,-1.2541047,-2.9131923,0.39853615
Arnaud Nordin,FW,Montpellier,1,1.6864389,-3.1255515,-0.5893527,1.7727141
Nhoa Sangui,"DF,MF",Reims,0,-0.7586237,-0.7441152,-0.02665495,-0.87142336
Valentín Barco,"MF,DF",Strasbourg,0,-1.3681442,1.1705364,0.5393373,0.4561831
Issiaga Sylla,DF,Montpellier,0,-1.7112185,-1.902451,0.1657897,-0.35164058
Aleksandr Golovin,"MF,FW",Monaco,3,1.271206,0.63961434,-1.0453508,2.2248926
Ayyoub Bouaddi,MF,Lille,0,0.45646173,0.8538217,1.3537352,0.7112495
Mama Samba Baldé,FW,Brest,1,2.6963956,-3.5097797,-0.08060479,2.8603723
Mitchel Bakker,"FW,DF",Lille,3,0.41797605,-1.1095012,-2.6232371,1.1937249
Tanguy Ndombele,MF,Nice,0,1.5635855,0.17798585,0.3136741,1.313456
Mory Gbane,"DF,MF",Reims,4,-0.450713,1.0600209,1.3610725,-2.5411072
Ruben Aguilar,"DF,MF",Lens,3,-1.7939504,0.9282858,-1.0160325,1.3472459
Djaoui Cissé,MF,Rennes,0,0.7614276,2.4971879,-0.27619007,-0.26853603
Wahbi Khazri,"FW,MF",Montpellier,1,0.7473304,-3.781426,-0.20066087,0.9568707
Musa Al-Taamari,"FW,MF",Montpellier,1,1.7421087,-2.983459,-1.2085,3.1793013
Timothee Pembele,DF,Le Havre,0,-0.81764317,-1.5219802,0.87325996,-0.81348616
Jaydee Canvot,"DF,MF",Toulouse,4,-0.3618686,1.1229092,1.1884724,-2.020554
Edimilson Fernandes,"MF,DF",Brest,4,-0.22410455,0.7259702,0.97113043,-2.59535
Badredine Bouanani,"MF,FW",Nice,1,1.8929237,-1.725718,-2.3731833,2.4997783
Abner,DF,Lyon,3,-1.1194607,0.2693496,-0.5727754,1.0825531
Alban Lafont,GK,Nantes,2,-3.3694963,-0.42054224,2.0486457,-6.0908947
Kevin Danso,DF,Lens,4,-2.7835495,2.3108666,0.4711666,-2.0259852
Akor Adams,FW,Montpellier,1,3.4585567,-4.7226596,0.034659244,2.7084868
Gonçalo Ramos,FW,Paris S,1,5.131391,-3.337589,-0.77506226,3.5878024
Matias Fernandez-Pardo,"FW,MF",Lille,1,2.6069806,-2.9548352,-2.3561502,2.7908237
Sofiane Diop,"MF,FW",Nice,3,1.9441382,-0.7686112,-3.235338,1.5131354
Irvin Cardona,FW,Saint,1,3.4862764,-2.8472583,-0.9411269,1.0418359
Rassoul Ndiaye,MF,Le Havre,0,0.79465944,-1.4495624,1.4232358,0.025011746
Jeremie Boga,"MF,FW",Nice,1,1.1701276,-2.034087,-1.5652304,3.3601704
