player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Nicolás Tagliafico,DF,Lyon,2,16.46105,7.581702,3.5858252,31.0
Zakaria Aboukhlal,"MF,FW",Toulouse,4,21.076689,7.917063,0.757692,24.0
Enzo Tchato,DF,Montpellier,1,17.643042,9.103927,3.2730868,21.0
Farid El Melali,FW,Angers,0,19.136353,6.2591925,0.5924353,27.0
Joris Chotard,MF,Montpellier,1,16.95254,8.331166,5.3597913,22.0
Lucas Stassin,FW,Saint,4,20.8889,7.9042845,1.3876526,19.0
João Neves,"MF,DF",Paris S,1,15.840287,5.682516,3.9372177,19.0
Breel Embolo,"FW,MF",Monaco,0,20.872238,7.4912186,1.0262337,27.0
Gaëtan Laborde,FW,Nice,0,20.804762,8.347697,0.74282384,30.0
Deiver Machado,"DF,MF",Lens,2,18.51305,7.9920754,2.4823005,30.0
Becir Omeragic,DF,Montpellier,1,14.426933,10.570448,4.97098,22.0
Florian Sotoca,"FW,MF",Lens,2,18.922129,6.446176,2.673521,33.0
Haris Belkebla,MF,Angers,2,17.814762,8.010119,5.4844203,30.0
Gabriel Gudmundsson,DF,Lille,3,17.91485,7.982413,2.9936872,25.0
Félix Lemaréchal,"MF,FW",Strasbourg,4,19.543243,6.832656,2.854053,20.0
Pablo Rosario,"MF,DF",Nice,3,18.061842,8.027606,4.776556,27.0
Jordan Ferri,MF,Montpellier,2,15.754446,6.7856565,4.6793714,32.0
Benjamin Bouchouari,MF,Saint,1,17.644413,6.5507283,4.2024064,22.0
Hákon Arnar Haraldsson,"MF,FW",Lille,4,17.973957,6.317263,1.710673,21.0
Jim Allevinah,FW,Angers,0,20.450392,6.985631,1.4618572,29.0
Eliesse Ben Seghir,"MF,FW",Monaco,4,17.984337,5.2610364,1.2795653,19.0
Aïssa Mandi,DF,Lille,2,15.129607,7.5471096,4.477451,32.0
Ousmane Dembélé,FW,Paris S,0,18.41604,4.741887,1.5697004,27.0
Désiré Doué,"FW,MF",Paris S,4,18.714293,4.917957,1.5614351,19.0
Marquinhos,DF,Paris S,2,13.738581,7.3064246,4.5365577,30.0
Abdoulaye Niakhate Ndiaye,DF,Brest,1,15.327252,9.914115,4.903159,22.0
Joseph Okumu,DF,Reims,3,13.5470085,8.742911,4.267839,27.0
Marshall Munetsi,MF,Reims,0,21.258862,7.9745555,2.9008584,28.0
Rabby Nzingoula,MF,Montpellier,1,18.95028,7.750081,4.6825686,18.0
Hans Hateboer,DF,Rennes,2,15.63578,7.895831,4.366767,30.0
Massadio Haïdara,DF,Brest,2,17.884172,9.185881,3.0321233,31.0
Nuno Mendes,DF,Paris S,1,15.743077,5.8466907,3.2797036,22.0
Joshua King,"FW,MF",Toulouse,0,21.4326,7.707943,1.3134692,32.0
Lee Kang-in,"FW,MF",Paris S,4,17.385283,5.914189,1.663949,23.0
Gabriel Osho,DF,Auxerre,3,14.508131,10.215211,5.646326,25.0
Esteban Lepaul,FW,Angers,4,21.778906,8.240558,1.8581947,24.0
Oumar Diakité,FW,Reims,4,21.650723,7.4045587,1.8526328,20.0
Mohamed Ali Cho,"FW,MF",Nice,4,19.722937,5.637597,1.4506191,20.0
Quentin Merlin,DF,Marseille,4,17.271929,7.0231743,2.255121,22.0
Malick Fofana,FW,Lyon,4,19.468739,5.0658317,1.7008245,19.0
Neil El Aynaoui,MF,Lens,1,17.119776,7.0142283,3.5767715,23.0
Duje Ćaleta-Car,DF,Lyon,3,14.048974,9.387708,5.4038806,27.0
Mathias Pereira Lage,"FW,MF",Brest,0,18.815203,6.643642,0.85797906,27.0
Valentin Rongier,"MF,DF",Marseille,2,15.241912,6.330947,3.8241603,29.0
Jordan Veretout,MF,Lyon,2,16.583492,7.097363,4.423169,31.0
Pierre Lees-Melou,MF,Brest,2,16.352856,6.5183883,4.8885145,31.0
Yassin Belkhdim,MF,Angers,1,18.646614,8.094004,5.1394253,22.0
Frank Magri,"FW,MF",Toulouse,4,22.165077,7.8839045,1.9461006,24.0
Nathan Zeze,DF,Nantes,1,15.107839,9.412699,5.2707405,19.0
Abdoulaye Bamba,DF,Angers,2,14.664917,10.135939,6.0015197,34.0
Christian Mawissa,DF,Monaco,1,16.17784,9.144898,4.6520505,19.0
Tanguy Coulibaly,"FW,MF",Montpellier,4,21.011919,6.729893,1.7357128,23.0
M'Bala Nzola,FW,Lens,0,21.857073,8.035678,1.2607381,27.0
Kévin Danois,MF,Auxerre,1,17.881317,6.382774,4.594064,20.0
Christopher Wooh,DF,Rennes,1,14.410801,10.390411,4.2055078,22.0
André Ayew,FW,Le Havre,2,22.104908,8.239728,2.2922149,34.0
Georges Mikautadze,FW,Lyon,4,20.568895,8.271938,0.54241925,23.0
Derek Cornelius,DF,Marseille,3,13.387298,8.267986,4.5994763,26.0
Anass Zaroury,"FW,MF",Lens,4,17.433424,6.934426,1.4407243,23.0
Ali Abdi,"DF,MF",Nice,2,17.799416,8.019411,2.6655166,30.0
Przemysław Frankowski,DF,Lens,2,16.619627,6.9277034,2.33742,29.0
Malang Sarr,DF,Lens,3,13.678877,8.844595,4.346869,25.0
Julien Le Cardinal,DF,Brest,3,14.511627,10.651084,4.538097,26.0
Emmanuel Biumla,DF,Angers,1,14.746077,10.356511,6.01863,19.0
Kamory Doumbia,"MF,FW",Brest,1,17.675507,6.6766725,4.6287465,21.0
