player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Jean-Eudes Aholou,Angers,MF,0.94953746,-1.2196137,-0.6226355,0.6375467,0
Sinaly Diomande,Auxerre,DF,-0.45921817,-0.0039442675,0.3112251,5.5643954,0
Melvin Bard,Nice,"DF,MF",-2.4640756,0.5466834,1.0606118,0.31292188,-1
Youssouf Ndayishimiye,Nice,DF,-1.6287391,1.9087371,-0.6857794,4.5125785,0
Caio Henrique Oliveira Silva,Monaco,DF,-0.9001604,1.6059307,1.7577946,-0.3326445,-1
Thomas Meunier,Lille,DF,-1.8458775,1.7803918,0.41696477,0.8461481,-1
Fabián Ruiz Peña,Paris S,MF,-0.69537944,3.7589557,-0.19543007,0.2836089,-1
Issa Soumaré,Le Havre,"FW,MF",1.373717,-2.217225,0.6073062,-3.5170257,1
Nicolás Tagliafico,Lyon,DF,-1.9091933,1.8717445,-0.28915784,0.76006997,-1
Zakaria Aboukhlal,Toulouse,"MF,FW",1.3136277,-2.4455092,-0.12571195,-4.848543,1
Enzo Tchato,Montpellier,DF,-1.1861342,-1.1704427,0.91250694,1.3446287,2
Farid El Melali,Angers,FW,0.51104325,-0.9009848,2.3681836,-4.2139444,-1
Joris Chotard,Montpellier,MF,0.37150928,-0.8818594,-0.47339773,2.1673973,0
Lucas Stassin,Saint,FW,2.3556528,-1.869856,0.046580564,-3.734237,1
João Neves,Paris S,"MF,DF",-0.69108045,3.7216933,-0.23752157,0.30030605,-1
Breel Embolo,Monaco,"FW,MF",0.97352207,-1.6333092,-0.8631239,-4.919287,1
Gaëtan Laborde,Nice,FW,2.1813288,-1.6883259,-0.1423778,-5.45916,1
Deiver Machado,Lens,"DF,MF",-1.3858118,-0.76220304,0.7819926,-0.56090593,2
Becir Omeragic,Montpellier,DF,0.5532721,-0.14955771,-1.187912,5.0072055,0
Florian Sotoca,Lens,"FW,MF",-0.36498433,-0.39667767,-1.0724843,-2.6315627,-1
Haris Belkebla,Angers,MF,0.6333766,-0.6020429,-1.2889234,1.4472948,0
Gabriel Gudmundsson,Lille,DF,-1.1713566,0.10649985,0.5883154,-0.15618058,2
Félix Lemaréchal,Strasbourg,"MF,FW",0.54175603,-0.5838855,-0.42471513,-1.6852808,0
Pablo Rosario,Nice,"MF,DF",1.3431907,-0.32452542,0.0041991854,1.2001395,0
Jordan Ferri,Montpellier,MF,-0.00078281714,2.1792135,-1.8711493,1.8341007,-1
Benjamin Bouchouari,Saint,MF,-0.67444974,-0.5363901,-1.7244401,-0.6732414,-1
Hákon Arnar Haraldsson,Lille,"MF,FW",-0.0063607236,0.7494991,1.2953732,-2.1878705,3
Jim Allevinah,Angers,FW,0.4395332,-2.1161509,0.053738512,-3.6619916,1
Eliesse Ben Seghir,Monaco,"MF,FW",-0.11346202,1.436931,0.70646703,-3.1970048,3
Aïssa Mandi,Lille,DF,0.032279342,2.0085683,-0.89342725,2.9438562,0
Ousmane Dembélé,Paris S,FW,-0.18448713,2.0328434,0.9572166,-4.5757265,3
Désiré Doué,Paris S,"FW,MF",-0.92685896,2.0734656,0.36666206,-4.3663015,3
Marquinhos,Paris S,DF,-1.1499919,4.0758243,-0.81550235,3.345224,-1
Abdoulaye Niakhate Ndiaye,Brest,DF,-0.7638599,0.14711598,0.43392494,4.537854,0
Joseph Okumu,Reims,DF,0.660143,2.5685866,-1.1237469,4.5302234,-1
Marshall Munetsi,Reims,MF,1.5557187,-2.9343584,-0.5883871,-2.7381496,1
Rabby Nzingoula,Montpellier,MF,0.7662843,-2.0424688,-1.140802,-0.022373509,0
Hans Hateboer,Rennes,DF,-0.49847817,1.5592803,-0.16140437,2.613091,0
Massadio Haïdara,Brest,DF,-2.194187,-1.4916981,0.7138669,0.49988204,2
Nuno Mendes,Paris S,DF,-0.7834273,3.7717888,-0.0018432292,0.21762197,-1
Joshua King,Toulouse,"FW,MF",1.3715574,-2.3136132,-0.29209718,-4.225222,1
Lee Kang-in,Paris S,"FW,MF",-0.35525933,2.6754901,1.2379272,-3.007365,3
Gabriel Osho,Auxerre,DF,-0.7003825,0.13941069,-0.9923601,4.8063736,0
Esteban Lepaul,Angers,FW,2.256181,-2.579215,-0.33568856,-3.4789624,1
Oumar Diakité,Reims,FW,1.2344782,-2.2802753,-0.503995,-3.7541964,1
Mohamed Ali Cho,Nice,"FW,MF",0.061171133,-0.12801594,0.5269196,-3.8991907,3
Quentin Merlin,Marseille,DF,-1.2261328,1.8119017,1.044595,-0.7846612,-1
Malick Fofana,Lyon,FW,-0.2776229,0.23208934,0.5352753,-4.116132,3
Neil El Aynaoui,Lens,MF,0.83768225,1.3568306,0.81886965,0.59312886,-1
Duje Ćaleta-Car,Lyon,DF,-0.44116595,1.5477637,0.041247252,5.1579933,0
Mathias Pereira Lage,Brest,"FW,MF",0.95826507,-0.6587194,2.6625268,-2.9120557,-1
Valentin Rongier,Marseille,"MF,DF",-1.5351342,3.0575442,-0.7604567,1.4575313,-1
Jordan Veretout,Lyon,MF,0.2828716,1.5057839,-0.44628498,1.0386274,0
Pierre Lees-Melou,Brest,MF,0.8793467,2.3923833,-1.2576582,0.9209981,-1
Yassin Belkhdim,Angers,MF,0.9509689,-1.6071241,-0.83708924,0.77670103,0
Frank Magri,Toulouse,"FW,MF",1.5668007,-2.9764407,-0.6687746,-4.003449,1
Nathan Zeze,Nantes,DF,0.23136,0.55451137,-0.43267852,4.2530117,0
Abdoulaye Bamba,Angers,DF,0.31488648,-0.3444016,-1.8413552,4.6218123,0
Christian Mawissa,Monaco,DF,-0.39732,1.3054417,1.3731595,3.605155,0
Tanguy Coulibaly,Montpellier,"FW,MF",0.15367779,-2.5515523,0.34685218,-2.3950076,-1
M'Bala Nzola,Lens,FW,1.407714,-2.2147934,-1.3168368,-4.556297,1
Kévin Danois,Auxerre,MF,-0.041780654,0.41420892,-1.8061143,-0.2622438,-1
Christopher Wooh,Rennes,DF,0.5332304,0.89564717,0.38705584,4.8056865,0
André Ayew,Le Havre,FW,1.7319766,-3.2541416,-0.6817183,-3.157694,1
Georges Mikautadze,Lyon,FW,2.0997941,-1.0236158,0.33039612,-5.507488,1
Derek Cornelius,Marseille,DF,-0.3861486,3.6848845,0.5958387,3.7470505,-1
Anass Zaroury,Lens,"FW,MF",-0.46942553,0.9681386,2.2178922,-2.0409687,-1
Ali Abdi,Nice,"DF,MF",-2.3857317,0.38457742,0.15878394,-0.72531205,-1
Przemysław Frankowski,Lens,DF,-1.5114611,2.0329354,1.1469055,-0.05038632,-1
Malang Sarr,Lens,DF,0.87168765,2.2600353,-0.40635192,4.353068,-1
Julien Le Cardinal,Brest,DF,1.0265309,0.7569938,0.16460148,5.1443996,0
Emmanuel Biumla,Angers,DF,-0.93762195,-0.11665064,-1.1317829,4.8625917,0
Kamory Doumbia,Brest,"MF,FW",1.6944888,1.013144,0.18425071,-0.43423527,-1
Sorba Thomas,Nantes,"FW,MF",-0.5214414,0.81708926,2.6386032,-1.9789953,-1
