player_name,cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age
Florent Hanin,0,0.03,0.07,48.0,47.8,116.0,34.9,132.0,34.0
Pierre Højbjerg,3,0.07,0.14,36.0,29.2,106.0,53.8,171.0,28.0
Mahdi Camara,0,0.17,0.1,58.0,44.6,104.0,35.4,98.0,26.0
Keito Nakamura,1,0.37,0.07,90.0,38.5,37.0,33.3,116.0,24.0
Jubal,4,0.2,0.0,1.0,75.0,85.0,69.2,90.0,30.0
Ismaël Doukouré,4,0.03,0.03,20.0,76.5,65.0,61.9,103.0,21.0
Léo Pétrot,0,0.0,0.1,28.0,50.0,104.0,51.9,115.0,27.0
Jean-Charles Castelletto,4,0.0,0.0,21.0,100.0,59.0,65.4,91.0,29.0
Adrien Thomasson,3,0.1,0.24,30.0,43.3,109.0,27.4,206.0,30.0
Luis Henrique,3,0.24,0.24,84.0,56.0,26.0,0.0,116.0,22.0
Moses Simon,1,0.28,0.34,147.0,44.2,32.0,20.8,118.0,29.0
Charlie Cresswell,4,0.1,0.03,8.0,27.3,63.0,69.0,103.0,21.0
Arnaud Kalimuendo,1,0.59,0.1,50.0,33.9,23.0,27.2,63.0,22.0
Pierre Ekwah Elimby,0,0.03,0.0,20.0,56.3,101.0,69.8,154.0,22.0
Diego Moreira,3,0.07,0.25,99.0,45.6,79.0,48.2,139.0,19.0
Evann Guessand,1,0.42,0.28,87.0,47.6,59.0,41.9,98.0,23.0
Jonathan David,1,0.56,0.18,40.0,47.6,31.0,27.6,66.0,24.0
Guillaume Restes,2,0.0,0.04,0.0,0.0,3.0,0.0,50.0,19.0
Facundo Medina,4,0.0,0.04,46.0,37.0,76.0,55.6,165.0,25.0
Sergio Akieme,0,0.07,0.11,55.0,41.9,51.0,42.2,109.0,26.0
Dilane Bakwa,1,0.22,0.29,107.0,39.4,41.0,57.9,92.0,21.0
Mark McKenzie,4,0.04,0.04,10.0,44.4,74.0,56.4,128.0,25.0
Ludovic Ajorque,1,0.47,0.07,10.0,47.1,32.0,52.4,62.0,30.0
Clément Akpa,4,0.0,0.04,27.0,34.8,97.0,55.1,116.0,22.0
Adrien Rabiot,3,0.33,0.14,79.0,52.0,70.0,56.7,124.0,29.0
Loïc Nego,0,0.0,0.0,64.0,53.1,87.0,55.9,111.0,33.0
Michael Amir Murillo,0,0.04,0.11,43.0,51.9,67.0,71.2,138.0,28.0
Hicham Boudaoui,0,0.07,0.11,54.0,38.5,98.0,32.0,175.0,24.0
Brendan Chardonnet,4,0.04,0.0,7.0,,74.0,60.4,91.0,29.0
Maghnes Akliouche,1,0.19,0.37,127.0,48.5,66.0,17.9,131.0,22.0
Vincent Sierro,0,0.19,0.04,15.0,42.9,60.0,47.0,125.0,28.0
Thilo Kehrer,4,0.15,0.0,16.0,33.3,73.0,61.4,132.0,27.0
Clinton Mata,4,0.0,0.15,20.0,46.7,87.0,55.3,129.0,31.0
Mamadou Sarr,4,0.0,0.04,7.0,52.6,62.0,50.8,98.0,18.0
Téji Savanier,3,0.08,0.19,26.0,40.3,44.0,43.9,117.0,32.0
Lorenz Assignon,3,0.11,0.15,98.0,36.4,74.0,63.3,110.0,24.0
Habib Diarra,1,0.15,0.19,61.0,26.5,35.0,42.9,90.0,20.0
Pedro Chirivella,0,0.0,0.08,16.0,42.9,63.0,41.7,116.0,27.0
Elisha Owusu,0,0.04,0.12,8.0,39.1,115.0,38.1,154.0,26.0
Yann Gboho,1,0.19,0.15,116.0,41.0,37.0,15.6,107.0,23.0
Corentin Tolisso,3,0.27,0.15,31.0,52.4,79.0,48.2,128.0,29.0
Abdoulaye Touré,0,0.39,0.04,17.0,51.5,95.0,61.2,160.0,30.0
