player_name,cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age
Jim Allevinah,3,0.05,0.15,57.0,31.3,31.0,29.4,88.0,29.0
Eliesse Ben Seghir,0,0.31,0.15,85.0,36.5,44.0,37.1,86.0,19.0
Aïssa Mandi,2,0.0,0.0,12.0,75.0,46.0,38.9,67.0,32.0
Ousmane Dembélé,0,1.09,0.31,127.0,44.2,20.0,40.0,39.0,27.0
Désiré Doué,0,0.31,0.31,97.0,44.2,61.0,44.4,93.0,19.0
Marquinhos,2,0.1,0.0,29.0,75.0,41.0,65.3,103.0,30.0
Abdoulaye Niakhate Ndiaye,5,0.05,0.0,5.0,25.0,60.0,56.8,72.0,22.0
Joseph Okumu,2,0.05,0.0,18.0,77.8,55.0,63.6,94.0,27.0
Marshall Munetsi,3,0.21,0.11,8.0,50.0,53.0,46.1,72.0,28.0
Rabby Nzingoula,6,0.05,0.0,25.0,48.1,93.0,45.9,99.0,18.0
Hans Hateboer,2,0.0,0.0,28.0,60.0,60.0,63.6,62.0,30.0
Massadio Haïdara,7,0.0,0.0,44.0,53.6,53.0,67.6,54.0,31.0
Nuno Mendes,1,0.05,0.16,58.0,58.5,48.0,57.7,108.0,22.0
Joshua King,3,0.32,0.16,39.0,54.7,17.0,40.7,60.0,32.0
Lee Kang-in,0,0.32,0.32,50.0,56.9,28.0,33.3,73.0,23.0
Gabriel Osho,5,0.05,0.0,12.0,57.1,35.0,67.9,52.0,25.0
Esteban Lepaul,3,0.5,0.0,26.0,28.6,15.0,42.7,45.0,24.0
Oumar Diakité,3,0.22,0.06,24.0,35.1,23.0,29.8,59.0,20.0
Mohamed Ali Cho,0,0.17,0.22,81.0,28.6,18.0,32.5,69.0,20.0
Quentin Merlin,9,0.06,0.17,40.0,21.1,36.0,31.8,69.0,22.0
Malick Fofana,0,0.28,0.23,112.0,40.7,30.0,14.3,63.0,19.0
Neil El Aynaoui,1,0.45,0.06,11.0,23.8,69.0,61.5,90.0,23.0
Duje Ćaleta-Car,2,0.06,0.0,4.0,50.0,37.0,76.5,65.0,27.0
Mathias Pereira Lage,0,0.11,0.4,32.0,35.7,57.0,46.1,77.0,27.0
Valentin Rongier,1,0.17,0.06,25.0,68.8,83.0,54.2,86.0,29.0
Jordan Veretout,1,0.12,0.0,35.0,55.6,35.0,44.4,88.0,31.0
Pierre Lees-Melou,1,0.12,0.12,23.0,57.1,60.0,36.4,125.0,31.0
Yassin Belkhdim,6,0.06,0.06,17.0,13.3,74.0,25.0,74.0,22.0
Frank Magri,3,0.3,0.06,17.0,22.2,12.0,32.8,21.0,24.0
Nathan Zeze,5,0.0,0.0,2.0,75.0,61.0,52.8,63.0,19.0
Abdoulaye Bamba,5,0.0,0.0,1.0,100.0,41.0,39.3,47.0,34.0
Christian Mawissa,7,0.0,0.0,13.0,35.7,68.0,63.3,70.0,19.0
Tanguy Coulibaly,3,0.18,0.0,48.0,53.7,43.0,45.2,70.0,23.0
M'Bala Nzola,3,0.37,0.06,26.0,36.8,10.0,51.4,36.0,27.0
Kévin Danois,1,0.0,0.0,19.0,51.2,69.0,43.8,102.0,20.0
Christopher Wooh,5,0.0,0.0,14.0,58.3,59.0,70.0,53.0,22.0
André Ayew,3,0.25,0.06,5.0,38.5,21.0,37.0,26.0,34.0
Georges Mikautadze,3,0.68,0.37,37.0,28.8,11.0,27.3,44.0,23.0
Derek Cornelius,2,0.0,0.0,10.0,0.0,38.0,71.1,67.0,26.0
Anass Zaroury,9,0.13,0.13,49.0,48.6,29.0,28.6,59.0,23.0
Ali Abdi,8,0.32,0.13,35.0,41.4,63.0,61.1,72.0,30.0
Przemysław Frankowski,9,0.26,0.13,33.0,37.5,51.0,57.1,61.0,29.0
Malang Sarr,2,0.0,0.0,4.0,50.0,43.0,78.3,69.0,25.0
Julien Le Cardinal,5,0.0,0.07,7.0,66.7,60.0,61.7,48.0,26.0
Emmanuel Biumla,5,0.07,0.0,3.0,58.3,27.0,57.1,37.0,19.0
Kamory Doumbia,1,0.2,0.14,17.0,54.3,69.0,31.3,87.0,21.0
Sorba Thomas,9,0.07,0.2,41.0,37.5,23.0,29.2,66.0,24.0
Lilian Raolisoa,8,0.0,0.2,33.0,43.4,56.0,57.7,76.0,24.0
Amadou Koné,6,0.0,0.0,19.0,60.0,68.0,50.0,79.0,19.0
Osame Sahraoui,0,0.21,0.21,69.0,44.3,20.0,0.0,58.0,23.0
André Gomes,1,0.0,0.0,18.0,41.7,33.0,56.3,92.0,31.0
Emmanuel Agbadou,2,0.0,0.0,10.0,75.0,44.0,62.1,85.0,27.0
Romain Del Castillo,9,0.43,0.29,29.0,43.2,37.0,40.0,73.0,28.0
Mostafa Mohamed,3,0.36,0.0,11.0,46.2,28.0,53.8,50.0,26.0
Florian Tardieu,1,0.14,0.29,11.0,23.1,33.0,63.6,83.0,32.0
Arouna Sangante,2,0.22,0.0,11.0,83.3,46.0,60.0,53.0,22.0
Abdallah Sima,3,0.51,0.15,36.0,26.1,16.0,48.2,61.0,23.0
Tanner Tessmann,6,0.07,0.0,11.0,50.0,44.0,17.4,63.0,22.0
Lilian Brassier,2,0.0,0.0,11.0,11.1,17.0,70.8,38.0,24.0
Lilian Brassier,2,0.07,0.07,21.0,50.0,37.0,78.9,59.0,24.0
Falaye Sacko,7,0.0,0.07,21.0,22.2,27.0,36.4,52.0,29.0
Mika Biereth,3,0.95,0.15,14.0,9.1,9.0,38.3,23.0,21.0
Leo Skiri Østigård,5,0.07,0.0,3.0,50.0,35.0,70.1,51.0,24.0
Ngal'Ayel Mukau,6,0.0,0.08,19.0,52.9,48.0,50.0,63.0,19.0
Shavy Babicka,0,0.3,0.15,36.0,29.7,24.0,29.2,54.0,24.0
Jordan James,1,0.0,0.08,21.0,42.9,44.0,58.8,54.0,20.0
Christopher Operi,9,0.0,0.15,28.0,51.9,27.0,64.7,51.0,27.0
Arnaud Nordin,0,0.31,0.08,51.0,45.1,29.0,38.7,47.0,26.0
Nhoa Sangui,7,0.0,0.16,21.0,52.6,24.0,33.3,64.0,18.0
Valentín Barco,7,0.0,0.16,20.0,45.0,49.0,50.0,79.0,20.0
Issiaga Sylla,7,0.08,0.0,33.0,60.0,35.0,55.0,51.0,30.0
Aleksandr Golovin,1,0.23,0.0,39.0,59.5,50.0,40.9,101.0,28.0
Ayyoub Bouaddi,6,0.0,0.08,11.0,48.3,60.0,50.0,62.0,16.0
Mama Samba Baldé,3,0.16,0.23,35.0,30.9,19.0,41.7,37.0,28.0
Mama Samba Baldé,3,0.0,0.0,1.0,0.0,3.0,100.0,1.0,28.0
Mitchel Bakker,9,0.24,0.16,43.0,52.4,35.0,23.1,46.0,24.0
Tanguy Ndombele,1,0.08,0.16,22.0,53.2,49.0,23.1,67.0,27.0
Mory Gbane,5,0.0,0.08,3.0,71.4,38.0,62.5,49.0,23.0
Ruben Aguilar,8,0.08,0.16,32.0,42.9,47.0,38.5,79.0,31.0
Djaoui Cissé,1,0.08,0.0,16.0,72.2,46.0,23.5,78.0,20.0
Wahbi Khazri,0,0.08,0.08,24.0,26.9,30.0,27.6,44.0,33.0
Musa Al-Taamari,0,0.16,0.08,55.0,32.4,17.0,44.4,49.0,27.0
Musa Al-Taamari,0,0.16,0.0,21.0,35.0,6.0,18.2,17.0,27.0
Timothee Pembele,7,0.08,0.0,27.0,51.7,41.0,41.7,46.0,21.0
Jaydee Canvot,6,0.0,0.0,9.0,70.0,34.0,55.2,50.0,18.0
Edimilson Fernandes,6,0.0,0.08,7.0,75.0,29.0,55.6,69.0,28.0
Badredine Bouanani,0,0.25,0.25,47.0,38.9,22.0,11.1,44.0,19.0
Abner,8,0.08,0.08,31.0,50.0,34.0,43.8,45.0,24.0
Kevin Danso,2,0.0,0.0,9.0,16.7,39.0,66.1,59.0,25.0
Akor Adams,3,0.25,0.08,11.0,50.0,5.0,50.9,24.0,24.0
Gonçalo Ramos,3,0.84,0.25,11.0,9.1,11.0,57.1,18.0,23.0
Matias Fernandez-Pardo,0,0.34,0.17,46.0,40.0,15.0,0.0,35.0,19.0
Sofiane Diop,0,0.51,0.34,26.0,32.3,40.0,27.3,73.0,24.0
Irvin Cardona,3,0.42,0.25,30.0,27.3,10.0,55.6,26.0,26.0
Rassoul Ndiaye,6,0.08,0.0,6.0,25.0,47.0,38.2,66.0,22.0
Jeremie Boga,0,0.09,0.17,64.0,39.1,13.0,42.9,44.0,27.0
Ernest Nuamah,0,0.26,0.09,44.0,51.2,29.0,48.1,60.0,20.0
Amine Gouiri,0,0.86,0.26,17.0,45.5,6.0,16.7,24.0,24.0
Amine Gouiri,0,0.26,0.17,22.0,45.5,11.0,34.8,40.0,24.0
Han-Noah Massengo,6,0.0,0.0,13.0,34.5,34.0,38.9,57.0,23.0
Angelo Fulgini,0,0.09,0.09,29.0,28.9,16.0,37.5,52.0,27.0
Louis Mouton,1,0.0,0.09,18.0,50.0,59.0,31.3,63.0,22.0
Neal Maupay,3,0.35,0.35,12.0,42.9,11.0,36.4,21.0,27.0
Aimen Moueffek,6,0.0,0.09,20.0,45.8,25.0,34.6,59.0,23.0
Yunis Abdelhamid,5,0.0,0.0,4.0,42.9,31.0,65.5,42.0,36.0
Khalil Fayad,6,0.0,0.0,25.0,44.7,41.0,60.0,74.0,20.0
Soungoutou Magassa,1,0.0,0.09,6.0,65.2,68.0,38.2,90.0,20.0
Mohammed Salisu,2,0.09,0.0,8.0,0.0,44.0,66.0,55.0,25.0
Warren Kamanzi,4,0.09,0.09,29.0,55.2,38.0,87.5,56.0,23.0
Saidou Sow,2,0.11,0.0,2.0,66.7,30.0,41.9,32.0,22.0
Saidou Sow,2,0.0,0.09,0.0,50.0,24.0,51.6,36.0,22.0
Théo Sainte-Luce,7,0.09,0.0,19.0,60.0,36.0,51.7,38.0,25.0
Rémy Cabella,0,0.09,0.18,45.0,50.0,47.0,27.3,63.0,34.0
Paul Joly,8,0.0,0.09,28.0,22.2,74.0,61.9,56.0,24.0
Oussama Targhalline,6,0.0,0.0,25.0,38.5,38.0,57.1,43.0,22.0
Edon Zhegrova,0,0.37,0.09,37.0,41.8,9.0,60.0,42.0,25.0
Yanis Zouaoui,9,0.0,0.18,33.0,72.2,28.0,63.6,41.0,30.0
Abdukodir Khusanov,2,0.0,0.0,2.0,100.0,41.0,69.2,50.0,20.0
Anthony Rouault,2,0.0,0.0,3.0,,20.0,65.1,48.0,23.0
Ado Onaiwu,3,0.38,0.09,17.0,44.0,14.0,58.7,45.0,28.0
Junior Mwanga,6,0.09,0.19,15.0,43.8,34.0,56.3,61.0,21.0
Junior Mwanga,6,0.0,0.0,2.0,33.3,19.0,100.0,16.0,21.0
Thiago Almada,9,0.09,0.38,38.0,57.1,21.0,33.3,56.0,23.0
Sael Kumbedi,7,0.0,0.0,23.0,40.9,36.0,30.0,32.0,19.0
Marcus Coco,7,0.0,0.09,12.0,30.0,38.0,56.7,42.0,28.0
Abakar Sylla,5,0.09,0.0,0.0,50.0,38.0,57.1,39.0,21.0
Yael Mouanga,5,0.0,0.0,4.0,100.0,24.0,48.3,29.0,19.0
Antoine Joujou,0,0.0,0.19,44.0,49.2,25.0,21.7,59.0,21.0
Ibrahima Niane,3,0.29,0.1,19.0,31.6,9.0,41.3,32.0,25.0
Theo Bair,3,0.19,0.1,15.0,25.0,7.0,54.5,15.0,24.0
Ulisses Garcia,4,0.19,0.19,23.0,38.9,22.0,73.9,48.0,28.0
Jérémy Jacquet,2,0.0,0.1,8.0,62.5,53.0,65.5,41.0,19.0
Baptiste Santamaria,6,0.0,0.0,10.0,61.5,38.0,64.9,49.0,29.0
Baptiste Santamaria,6,0.0,0.19,3.0,20.0,23.0,50.0,34.0,29.0
Khvicha Kvaratskhelia,0,0.39,0.29,50.0,47.2,21.0,37.5,27.0,23.0
Wesley Saïd,3,0.3,0.0,16.0,47.4,18.0,38.5,17.0,29.0
Ismaily,8,0.0,0.1,15.0,42.1,46.0,44.4,46.0,34.0
Romain Faivre,0,0.3,0.2,24.0,40.5,17.0,41.2,42.0,26.0
Hiroki Sekine,7,0.0,0.0,22.0,50.0,14.0,50.0,21.0,21.0
Goduine Koyalipou,3,0.41,0.0,15.0,48.0,4.0,40.0,15.0,24.0
Lucas Hernández,2,0.0,0.0,6.0,66.7,31.0,68.4,45.0,28.0
Mathis Amougou,6,0.0,0.0,8.0,31.3,33.0,20.0,37.0,18.0
Mamadou Diakhon,0,0.21,0.1,61.0,41.0,16.0,7.1,38.0,18.0
Mohamed Abdelmoneim,2,0.0,0.0,6.0,25.0,36.0,62.0,50.0,25.0
Koka,3,0.32,0.11,0.0,50.0,8.0,48.8,24.0,31.0
Zinedine Ferhat,9,0.21,0.0,16.0,45.5,19.0,45.9,47.0,31.0
Seko Fofana,1,0.11,0.11,32.0,50.0,18.0,70.0,42.0,29.0
Antoine Mendy,7,0.0,0.0,12.0,41.7,38.0,56.7,48.0,20.0
Ibrahim Sissoko,3,0.33,0.11,14.0,27.3,13.0,38.2,23.0,28.0
Louis Leroux,4,0.22,0.11,11.0,40.0,33.0,44.4,43.0,18.0
Albert Grønbaek,0,0.22,0.11,23.0,29.7,25.0,26.7,24.0,23.0
Senny Mayulu,4,0.22,0.22,29.0,45.5,30.0,9.1,32.0,18.0
Jonathan Rowe,0,0.33,0.33,30.0,41.7,17.0,33.3,21.0,21.0
Alidu Seidu,7,0.0,0.0,23.0,50.0,36.0,45.0,67.0,24.0
Yoann Salmier,5,0.0,0.0,7.0,80.0,24.0,64.5,22.0,31.0
Yvann Macon,7,0.0,0.0,25.0,47.4,21.0,20.0,42.0,25.0
Jordan Amavi,7,0.0,0.0,22.0,53.8,31.0,71.4,35.0,30.0
Tom Louchet,8,0.12,0.0,19.0,30.8,45.0,78.6,36.0,21.0
Sekou Mara,3,0.12,0.12,9.0,40.7,12.0,45.2,21.0,22.0
Maxime Bernauer,2,0.0,0.0,7.0,66.7,14.0,61.1,37.0,26.0
Boubakar Kouyaté,5,0.0,0.0,3.0,,34.0,59.5,18.0,27.0
Teddy Teuma,9,0.12,0.0,9.0,25.0,30.0,33.3,42.0,30.0
Angel Gomes,4,0.12,0.12,15.0,50.0,10.0,45.5,20.0,23.0
Saïd Benrahma,0,0.12,0.37,41.0,27.6,12.0,,32.0,28.0
Augustine Boakye,0,0.37,0.0,25.0,54.2,13.0,26.3,27.0,23.0
Mathieu Cafaro,0,0.12,0.0,19.0,41.2,17.0,42.9,30.0,27.0
Rayan Raveloson,6,0.12,0.0,5.0,53.8,11.0,47.1,44.0,27.0
George Ilenikhena,3,0.38,0.25,8.0,17.6,6.0,46.7,10.0,17.0
Lucas Mincarelli,7,0.13,0.0,15.0,20.0,26.0,35.7,25.0,20.0
Jacques Ekomie,7,0.0,0.0,13.0,19.0,26.0,45.8,33.0,20.0
Mikayil Ngor Faye,2,0.0,0.0,12.0,33.3,27.0,60.9,41.0,20.0
Abdulai Juma Bah,5,0.0,0.0,3.0,100.0,33.0,79.3,37.0,18.0
Pol Lirola,7,0.13,0.26,12.0,33.3,17.0,36.4,29.0,26.0
Assane Dioussé,6,0.0,0.0,1.0,33.3,27.0,25.0,41.0,26.0
Glen Kamara,6,0.0,0.14,5.0,50.0,30.0,25.0,42.0,28.0
Emmanuel Sabbi,3,0.0,0.0,11.0,37.9,17.0,40.9,26.0,26.0
Ismaël Bennacer,1,0.0,0.28,14.0,63.6,31.0,33.3,50.0,26.0
Chuba Akpom,3,0.42,0.14,6.0,44.4,8.0,60.7,11.0,28.0
Luck Zogbé,7,0.0,0.0,4.0,21.1,46.0,75.0,51.0,19.0
Rémy Labeau Lascary,0,0.28,0.14,17.0,46.2,17.0,46.2,21.0,21.0
Yaya Kader Fofana,4,0.14,0.14,19.0,63.6,20.0,28.6,33.0,20.0
Rasmus Nicolaisen,5,0.0,0.14,3.0,50.0,16.0,70.0,29.0,27.0
