player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,cluster
Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG,27.69971,34.44392,19.318054,0
Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN,28.18862,35.130287,24.493324,1
Andy Diouf,Lens,MF,21.0,9b5237b1,FRA,28.135767,35.521763,23.226233,1
Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN,26.932947,35.020317,18.85157,0
Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV,26.677856,35.70842,18.585918,0
Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA,29.117853,34.52473,23.693287,1
Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA,26.50464,37.24544,20.559223,0
Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI,28.960005,36.00338,21.839693,1
Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI,27.34774,34.772385,21.773071,0
Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI,25.785746,36.491276,19.414803,0
Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU,27.350307,33.85386,18.996052,0
Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA,27.410728,37.248413,20.38711,0
Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED,27.969906,37.104435,21.019564,0
Jonathan Gradit,Lens,DF,31.0,06c48679,FRA,26.744143,35.06992,19.473759,0
Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE,29.285656,35.80998,23.060822,1
Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA,27.727022,36.000664,20.710001,0
Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR,26.91062,36.57188,22.745174,0
Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV,27.195292,34.568787,19.46947,0
Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV,28.368238,35.639297,24.260923,1
Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED,26.605707,35.09819,21.22655,0
Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR,28.695826,34.610733,21.18856,1
Vanderson,Monaco,DF,23.0,ee45fd85,BRA,28.646627,35.49591,20.778484,1
Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN,28.665556,35.39582,21.89701,1
Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA,27.77627,35.19718,25.54296,1
Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA,26.409008,37.30058,21.016083,0
Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA,28.002775,34.055508,20.494629,0
Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA,26.580742,36.272713,22.266972,0
Carlens Arcus,Angers,DF,28.0,5e837126,HAI,26.949203,37.05998,20.748373,0
