player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Youssouf Ndayishimiye,Nice,DF,4.3304286,-0.059051666,0.19767462,1.0502495,0
Caio Henrique Oliveira Silva,Monaco,DF,-0.19810031,-1.6687253,1.4819024,0.89809066,0
Thomas Meunier,Lille,DF,1.4152089,-1.3710642,0.10634406,1.800912,0
Fabián Ruiz Peña,Paris S,MF,1.5636796,-2.812978,-0.90680516,0.19249894,1
Issa Soumaré,Le Havre,"FW,MF",-3.9864917,0.6496058,0.2730048,-2.0144756,1
Nicolás Tagliafico,Lyon,DF,1.635344,-1.2085063,-0.3752708,1.9865134,0
Zakaria Aboukhlal,Toulouse,"MF,FW",-5.207273,0.9471238,-0.25710195,-1.2888305,1
Enzo Tchato,Montpellier,DF,0.3372713,0.907808,0.7080322,1.5581369,0
Farid El Melali,Angers,FW,-4.4106903,-1.4538467,1.2956396,-1.3540874,1
Joris Chotard,Montpellier,MF,1.7760819,1.3097701,0.34317997,-0.5638617,1
Lucas Stassin,Saint,FW,-4.548605,1.1102825,-0.22794628,-0.87332684,1
João Neves,Paris S,"MF,DF",1.4880253,-2.8081548,-0.9807773,0.20013463,1
Breel Embolo,Monaco,"FW,MF",-4.730218,0.5526629,-0.25098932,-0.88454676,1
Gaëtan Laborde,Nice,FW,-5.6079884,1.1235768,-1.0647956,-0.25866544,1
Deiver Machado,Lens,"DF,MF",-1.0344675,0.1978967,0.5529756,1.7354503,0
Becir Omeragic,Montpellier,DF,4.8369784,1.8841783,1.1988918,0.58857954,0
Florian Sotoca,Lens,"FW,MF",-0.98599446,-1.5274235,-1.1985029,0.32651561,1
Haris Belkebla,Angers,MF,1.2827528,1.5012921,-0.090725146,-0.6193815,1
Gabriel Gudmundsson,Lille,DF,-0.12000479,-0.11780552,-0.18906544,1.3546546,0
Félix Lemaréchal,Strasbourg,"MF,FW",-1.8125243,0.5347294,-0.5112899,-0.7717515,1
Pablo Rosario,Nice,"MF,DF",1.1859503,1.3132946,1.0045427,-0.98485845,1
Jordan Ferri,Montpellier,MF,2.3623304,-1.3335681,-0.56799257,-0.73217976,1
Benjamin Bouchouari,Saint,MF,0.5332411,-0.44915262,-1.0632664,-0.3656557,1
Hákon Arnar Haraldsson,Lille,"MF,FW",-2.242118,-1.5638893,0.66916203,0.94646806,0
Jim Allevinah,Angers,FW,-3.8723056,0.37754798,-0.23761664,-1.2779899,1
Eliesse Ben Seghir,Monaco,"MF,FW",-3.0727308,-2.6165402,-0.15443432,0.16168225,1
Aïssa Mandi,Lille,DF,3.5907192,-0.6260513,0.34048986,-0.0014222764,0
Ousmane Dembélé,Paris S,FW,-3.1386504,-3.5950613,-0.4811959,-0.3056552,1
Désiré Doué,Paris S,"FW,MF",-3.1754894,-3.470074,-1.2320985,-0.6933379,1
Marquinhos,Paris S,DF,4.57587,-2.152606,-0.6811898,0.93452483,0
Abdoulaye Niakhate Ndiaye,Brest,DF,3.925408,1.5002857,0.7859239,1.6952667,0
Joseph Okumu,Reims,DF,5.4102554,-0.60108405,0.34472483,-0.2725393,0
Marshall Munetsi,Reims,MF,-3.3262749,2.4222767,-0.5637006,-1.6247424,1
Rabby Nzingoula,Montpellier,MF,-0.21751755,1.9389182,-0.7327412,-1.5417473,1
Hans Hateboer,Rennes,DF,2.8710542,-0.36922646,0.07158233,0.7455694,0
Massadio Haïdara,Brest,DF,-0.72770655,1.2120135,1.1253638,1.978181,0
Nuno Mendes,Paris S,DF,1.3439841,-2.9342384,-0.81804895,0.5844692,1
Joshua King,Toulouse,"FW,MF",-4.539095,1.170061,-0.12741153,-1.5552393,1
Lee Kang-in,Paris S,"FW,MF",-1.941214,-3.382723,0.11005696,0.43767977,1
Gabriel Osho,Auxerre,DF,4.356229,2.3301244,0.7188129,0.6002291,0
Esteban Lepaul,Angers,FW,-4.475893,2.0732036,-0.13772702,-1.3682313,1
Oumar Diakité,Reims,FW,-4.1830645,1.481475,-0.16899136,-1.5340887,1
Mohamed Ali Cho,Nice,"FW,MF",-3.5536544,-1.3471669,-0.38824508,-0.9908033,1
Quentin Merlin,Marseille,DF,-0.54534924,-1.492254,0.6035795,1.0922217,0
Malick Fofana,Lyon,FW,-3.3667395,-1.8206813,-0.69899577,-1.18734,1
Neil El Aynaoui,Lens,MF,1.0051337,-1.0673475,1.3799343,-0.8452443,1
Duje Ćaleta-Car,Lyon,DF,5.090861,1.4840328,0.015807524,1.3523152,0
Mathias Pereira Lage,Brest,"FW,MF",-2.9213653,-1.1255962,1.9822989,-0.5828154,0
Valentin Rongier,Marseille,"MF,DF",2.5819337,-1.7210759,-1.3979956,1.0296057,1
Jordan Veretout,Lyon,MF,1.6527783,-0.43253845,-0.1076034,-0.43156296,1
Pierre Lees-Melou,Brest,MF,1.9528643,-1.0646358,-1.4177947,-0.952395,1
Yassin Belkhdim,Angers,MF,0.17594272,1.8177018,-0.27421924,-0.7803206,1
Frank Magri,Toulouse,"FW,MF",-4.6995997,2.0740294,-0.052057575,-1.8830007,1
Nathan Zeze,Nantes,DF,4.021633,1.4391927,0.09698385,1.2948282,0
Abdoulaye Bamba,Angers,DF,4.1248684,2.815839,0.63714355,0.3572414,0
Christian Mawissa,Monaco,DF,2.83052,1.0879023,-0.29627183,1.4594512,0
Tanguy Coulibaly,Montpellier,"FW,MF",-3.251646,0.6474429,-0.9460724,-2.4949787,1
M'Bala Nzola,Lens,FW,-4.8931937,1.9289345,0.6121957,-0.93325293,1
Kévin Danois,Auxerre,MF,0.09637045,-0.09544494,-0.9671657,-1.2227659,1
Christopher Wooh,Rennes,DF,5.490466,1.266641,1.2377663,1.5201803,0
André Ayew,Le Havre,FW,-4.301444,2.5158703,-0.44456518,-1.63821,1
Georges Mikautadze,Lyon,FW,-5.664851,0.3684443,-0.9807185,-0.07876535,1
Derek Cornelius,Marseille,DF,5.94706,-1.3726201,0.15944575,0.9602807,0
Anass Zaroury,Lens,"FW,MF",-1.7114478,-2.1247509,1.367896,0.561114,0
Ali Abdi,Nice,"DF,MF",-0.2208028,-0.7704723,1.4324361,2.5295131,0
Przemysław Frankowski,Lens,DF,0.57379454,-1.986845,0.8709335,1.1350392,0
Malang Sarr,Lens,DF,5.254392,-0.078995354,0.016208787,-0.33792028,0
Julien Le Cardinal,Brest,DF,5.62345,1.3726696,1.9541616,0.65585405,0
Emmanuel Biumla,Angers,DF,4.296459,2.6036453,0.6500458,0.488958,0
Kamory Doumbia,Brest,"MF,FW",0.37161022,0.05361126,0.77292866,-2.629044,1
Sorba Thomas,Nantes,"FW,MF",-1.7273604,-2.1984005,1.735507,0.23461337,0
Lilian Raolisoa,Angers,"DF,FW",-1.8031948,-0.806161,1.0592757,2.094221,0
Amadou Koné,Reims,MF,1.1169963,1.2478344,-0.75245184,-2.2602704,1
Osame Sahraoui,Lille,"FW,MF",-2.8972964,-2.2888508,-0.8306252,-0.58821785,1
André Gomes,Lille,MF,1.9649273,-1.2223269,-0.87748533,-0.25879586,1
Emmanuel Agbadou,Reims,DF,4.959263,-0.8136502,0.28302962,-0.61541575,0
Romain Del Castillo,Brest,FW,-1.9967101,-2.8121097,1.931411,-0.05758237,0
Mostafa Mohamed,Nantes,FW,-4.9555697,1.7519988,-0.2868102,-2.107071,1
Florian Tardieu,Saint,MF,2.1249075,-2.1370456,-0.45501995,-0.3226563,1
Arouna Sangante,Le Havre,DF,4.4223943,0.72091943,-0.29086247,1.540662,0
Abdallah Sima,Brest,"FW,MF",-4.390327,1.2724317,0.17645335,-1.7968695,1
Tanner Tessmann,Lyon,MF,2.4300904,0.32359156,-0.57702297,-0.71225405,1
Lilian Brassier,Rennes,DF,4.8780513,-0.36308047,-0.3530647,0.20990661,0
Falaye Sacko,Montpellier,DF,1.6605282,2.1950498,1.2348242,1.9037782,0
Mika Biereth,Monaco,FW,-5.8973217,1.1235639,-0.5721972,-0.21152434,1
Leo Skiri Østigård,Rennes,DF,4.39845,1.0337974,-0.15429273,1.2398667,0
Ngal'Ayel Mukau,Lille,MF,0.7900601,0.65802664,-0.7935402,-0.61184675,1
Shavy Babicka,Toulouse,"MF,FW",-4.05075,0.17881379,-0.48300624,-1.5024688,1
Jordan James,Rennes,MF,0.22623049,-0.9959222,0.5167829,-1.3825327,1
Christopher Operi,Le Havre,"DF,FW",-0.542761,-1.9153814,2.2109463,0.73470896,0
Arnaud Nordin,Montpellier,FW,-3.0992203,-0.34806463,-0.82619375,-1.6081065,1
Nhoa Sangui,Reims,"DF,MF",-0.4506783,1.5573063,0.14650197,1.2911066,0
Valentín Barco,Strasbourg,"MF,DF",1.3331307,-0.017318806,-0.9251126,1.2187668,0
Issiaga Sylla,Montpellier,DF,0.10815786,1.2499723,1.8126664,1.2116177,0
Aleksandr Golovin,Monaco,"MF,FW",-0.3939754,-0.9731358,-1.7234977,-1.1169422,1
Ayyoub Bouaddi,Lille,MF,0.16629139,1.3659424,-1.0876501,-0.82586795,1
Mama Samba Baldé,Brest,FW,-4.5339546,0.68371665,0.1918563,-2.2421038,1
Mitchel Bakker,Lille,"FW,DF",-1.9467883,-1.6331036,1.1277535,0.81694955,0
Tanguy Ndombele,Nice,MF,-0.7113669,0.12139154,-0.7704026,-1.4982975,1
Mory Gbane,Reims,"DF,MF",3.0936549,1.709713,0.18663138,0.10576178,1
Ruben Aguilar,Lens,"DF,MF",0.7810017,-1.5227258,0.18241352,2.1416686,0
Djaoui Cissé,Rennes,MF,1.7317178,-0.2150554,-1.5844135,-0.84545666,1
Wahbi Khazri,Montpellier,"FW,MF",-2.4512324,-0.08693594,1.6863785,-0.67251235,0
Musa Al-Taamari,Montpellier,"FW,MF",-3.801627,-1.1205196,-0.26335675,-1.8352919,1
Timothee Pembele,Le Havre,DF,0.11673336,1.280772,-0.34658283,0.9620741,0
Jaydee Canvot,Toulouse,"DF,MF",2.7692063,1.6520666,0.091973335,0.27962494,1
Edimilson Fernandes,Brest,"MF,DF",2.911575,1.444521,0.071276434,-0.50411993,1
Badredine Bouanani,Nice,"MF,FW",-3.475961,-1.5321709,-0.07365984,-0.30371052,1
Abner,Lyon,DF,0.54943925,-0.4524531,0.10039229,1.7283174,0
Kevin Danso,Lens,DF,5.2976093,0.4952937,-0.6793239,0.4821651,0
Akor Adams,Montpellier,FW,-5.943499,1.3136945,0.18041046,-1.5226603,1
Gonçalo Ramos,Paris S,FW,-6.0722713,1.1267428,-0.87866414,-0.16774371,1
Matias Fernandez-Pardo,Lille,"FW,MF",-4.523998,-1.1324041,0.5936595,-1.5103266,1
Sofiane Diop,Nice,"MF,FW",-3.2192566,-2.2877078,0.06937965,1.1289957,1
Irvin Cardona,Saint,FW,-3.400966,0.58250076,-0.3099384,-0.4789048,1
Rassoul Ndiaye,Le Havre,MF,-0.33562377,1.4512334,0.5744929,-0.9761573,1
Jeremie Boga,Nice,"MF,FW",-3.1806374,-1.9840919,-0.37092006,-1.3716505,1
Ernest Nuamah,Lyon,"FW,MF",-2.3398757,-0.7088476,-0.4583669,-0.9674834,1
Amine Gouiri,Marseille,"FW,MF",-4.0674357,-0.8197607,1.2857159,0.50873923,0
Han-Noah Massengo,Auxerre,MF,1.5422748,1.886453,1.197273,-2.1582909,1
