player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV,7.0906034,-16.004818,19.954002,2.5729883,-28.825708,0
Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV,8.776956,-18.954712,20.647518,3.8490562,-30.560022,1
Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED,8.296716,-16.784918,20.257702,2.7879379,-29.34324,0
Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR,6.93841,-17.640461,20.49934,4.028569,-29.4066,0
Vanderson,Monaco,DF,23.0,ee45fd85,BRA,6.71545,-17.387764,20.008532,3.3583457,-29.837969,-1
Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN,7.0919547,-17.182486,20.708658,3.6569195,-30.132038,1
Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA,9.450866,-19.48096,20.691404,3.5665638,-30.413483,1
Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA,8.573266,-16.378675,18.945965,3.1279962,-30.653261,-1
Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA,6.9325314,-16.802893,20.551804,3.424189,-28.676054,0
Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA,8.758628,-17.697552,19.455095,2.884585,-30.170414,0
Carlens Arcus,Angers,DF,28.0,5e837126,HAI,7.94339,-16.671679,19.265102,3.0040076,-30.48044,-1
Vitinha,Paris S,MF,24.0,3b029691,POR,7.0258937,-16.168043,20.619658,3.4838727,-28.90304,0
Rayan Cherki,Lyon,"FW,MF",20.0,b34c63a5,FRA,7.383552,-18.576183,20.991442,4.4183135,-30.446684,1
Geoffrey Kondogbia,Marseille,"DF,MF",31.0,cce181df,CTA,6.568246,-15.956555,20.206238,2.829879,-28.52478,0
Nicolas Pallois,Nantes,DF,36.0,779847d6,FRA,8.3046465,-15.488831,18.646374,1.8847533,-29.41354,0
Dylan Batubinsika,Saint,DF,28.0,37d39918,COD,7.842964,-14.908114,18.692944,2.1802182,-29.10225,0
Lucas Beraldo,Paris S,DF,20.0,b8aedf06,BRA,7.1023912,-15.593829,20.03681,2.9276462,-28.283182,0
Nemanja Matić,Lyon,MF,35.0,eb7822d7,SRB,7.671847,-16.324673,20.009293,3.4164898,-28.888462,0
Josué Casimir,Le Havre,"FW,MF",22.0,481f76cf,FRA,8.935199,-18.923891,20.524979,3.7383764,-31.431772,1
Ainsley Maitland-Niles,Lyon,DF,26.0,e3a5814e,ENG,7.048205,-17.591305,19.830719,3.166848,-29.704235,0
Aurélio Buta,Reims,DF,27.0,b4705807,POR,8.256074,-16.467178,19.44617,3.5600986,-30.204893,0
Dante,Nice,DF,40.0,fd2bc67d,BRA,7.119037,-15.556036,19.731134,2.5093224,-28.24298,0
Jean-Eudes Aholou,Angers,MF,30.0,48b28bfd,CIV,8.9659605,-16.769411,19.704449,2.7003675,-30.239752,0
Sinaly Diomande,Auxerre,DF,23.0,6de23ab0,CIV,8.151681,-15.547182,19.108124,1.9063376,-29.289455,0
Melvin Bard,Nice,"DF,MF",23.0,1ddbc7ca,FRA,6.817654,-17.405254,19.667467,3.8262057,-30.271547,1
Youssouf Ndayishimiye,Nice,DF,25.0,65c55288,BDI,7.7323027,-15.291512,20.232626,2.4914024,-28.456491,0
Caio Henrique Oliveira Silva,Monaco,DF,27.0,30af8b93,BRA,6.869866,-17.465204,20.638218,4.023596,-30.339552,1
Thomas Meunier,Lille,DF,32.0,e162b013,BEL,6.7511106,-16.557236,20.163904,3.623214,-29.495487,0
Fabián Ruiz Peña,Paris S,MF,28.0,c0c7ff58,ESP,7.1382694,-17.477196,20.705992,3.631121,-29.199112,0
Issa Soumaré,Le Havre,"FW,MF",23.0,1d8aa290,SEN,9.373521,-19.207775,20.41302,4.00381,-31.419382,1
Nicolás Tagliafico,Lyon,DF,31.0,f0661424,ARG,7.043546,-17.189978,19.71186,3.1837304,-29.27025,0
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,c2a6033c,MAR,9.705055,-19.547867,20.263098,3.5572786,-30.816673,1
Enzo Tchato,Montpellier,DF,21.0,7f783431,CMR,7.983458,-16.516405,18.77107,3.475682,-30.723593,-1
Farid El Melali,Angers,FW,27.0,d21e361a,ALG,8.18742,-18.755165,20.51452,4.1717925,-31.515877,1
Joris Chotard,Montpellier,MF,22.0,7909ffa4,FRA,8.750121,-16.045872,19.417692,3.067129,-29.959194,0
Lucas Stassin,Saint,FW,19.0,a47d6f3a,BEL,9.773646,-19.40788,20.83078,3.6225915,-30.9174,1
João Neves,Paris S,"MF,DF",19.0,c2a15a27,POR,7.1170278,-17.326511,20.401474,3.6120954,-28.93121,0
Breel Embolo,Monaco,"FW,MF",27.0,0b4f388a,SUI,9.026099,-19.81998,20.094854,3.4700186,-30.5767,1
Gaëtan Laborde,Nice,FW,30.0,7cdda3bf,FRA,9.308802,-19.805069,20.744926,3.6494777,-31.03803,1
Deiver Machado,Lens,"DF,MF",30.0,b3f8bdef,COL,8.159665,-17.704361,19.447739,4.2588444,-30.730534,-1
Becir Omeragic,Montpellier,DF,22.0,c284d6fb,SUI,8.320018,-14.905032,18.540813,2.4277656,-29.624239,0
