player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Lee Kang-in,Paris S,"FW,MF",23.0,8455ad90,KOR,-6.4532447,-0.63385975,13.236003
Gabriel Osho,Auxerre,DF,25.0,cd889153,NGA,-2.8740683,-2.6093378,8.348206
Esteban Lepaul,Angers,FW,24.0,85ce1949,FRA,-10.066821,1.47837,12.580693
Oumar Diakité,Reims,FW,20.0,44435c8f,CIV,-9.801513,1.6084667,13.121324
Mohamed Ali Cho,Nice,"FW,MF",20.0,f8405304,FRA,-8.03197,0.64491266,13.528994
Quentin Merlin,Marseille,DF,22.0,0bfca6a1,FRA,-6.6150923,-1.9053502,12.337662
Malick Fofana,Lyon,FW,19.0,8236f673,BEL,-7.7875805,0.50830615,13.377891
Neil El Aynaoui,Lens,MF,23.0,17e1261b,MAR,-6.473119,-1.615548,11.415
Duje Ćaleta-Car,Lyon,DF,27.0,94f8d10c,CRO,-3.20765,-1.8309741,9.305756
Mathias Pereira Lage,Brest,"FW,MF",27.0,8846a40f,POR,-8.50955,-1.1226077,13.542809
Valentin Rongier,Marseille,"MF,DF",29.0,ed45c4a5,FRA,-4.474897,-1.0846025,11.748148
Jordan Veretout,Lyon,MF,31.0,4a56052c,FRA,-5.8870335,-1.1035016,10.728996
Pierre Lees-Melou,Brest,MF,31.0,f5044e54,FRA,-5.621105,-0.60683084,10.726089
Yassin Belkhdim,Angers,MF,22.0,e21d1928,FRA,-7.7919245,-0.9426214,9.602816
Frank Magri,Toulouse,"FW,MF",24.0,42fdb11d,CMR,-10.26827,1.8066823,13.491626
Nathan Zeze,Nantes,DF,19.0,fb4c5b6e,FRA,-3.8924048,-3.0091136,9.245635
Abdoulaye Bamba,Angers,DF,34.0,7fecbcdb,CIV,-3.1268764,-3.3293078,8.461226
Christian Mawissa,Monaco,DF,19.0,2c70d915,FRA,-4.245858,-1.9880604,9.446059
Tanguy Coulibaly,Montpellier,"FW,MF",23.0,05ba9d7c,FRA,-9.911874,0.252649,12.994744
M'Bala Nzola,Lens,FW,27.0,a4948e67,ANG,-9.213868,2.0397406,13.965148
Kévin Danois,Auxerre,MF,20.0,e76f6fbe,FRA,-6.7029877,-0.113462165,10.697994
Christopher Wooh,Rennes,DF,22.0,b003239d,CMR,-3.6408024,-2.4680016,9.320271
André Ayew,Le Havre,FW,34.0,5dbefa9d,GHA,-10.387871,1.5038217,13.39582
Georges Mikautadze,Lyon,FW,23.0,4788cb6b,GEO,-8.7896595,2.1224935,12.857812
Derek Cornelius,Marseille,DF,26.0,577744b8,CAN,-3.6004024,-1.555885,10.35279
Anass Zaroury,Lens,"FW,MF",23.0,07d65234,MAR,-7.4967957,-1.776612,13.293594
Ali Abdi,Nice,"DF,MF",30.0,ad7cdb35,TUN,-7.0003247,-2.4309258,12.182105
Przemysław Frankowski,Lens,DF,29.0,00a8d210,POL,-6.1301527,-2.0679371,12.039173
Malang Sarr,Lens,DF,25.0,4315f30d,FRA,-3.4281368,-2.5536861,10.276645
Julien Le Cardinal,Brest,DF,26.0,547a72ad,FRA,-3.87737,-2.625425,8.850708
Emmanuel Biumla,Angers,DF,19.0,e5a94f46,FRA,-3.0538704,-2.643623,8.100547
Kamory Doumbia,Brest,"MF,FW",21.0,9226aa22,MLI,-7.253955,-0.8691431,11.236021
Sorba Thomas,Nantes,"FW,MF",24.0,8725a42e,WAL,-7.763943,-1.8731164,13.02624
Lilian Raolisoa,Angers,"DF,FW",24.0,79a793b7,FRA,-7.3461304,-3.7564943,11.437876
Amadou Koné,Reims,MF,19.0,2eb1ec07,MLI,-6.4746504,-0.67416,9.54855
Osame Sahraoui,Lille,"FW,MF",23.0,6f9fa232,MAR,-7.3088083,0.3526501,13.176917
André Gomes,Lille,MF,31.0,1961b2aa,POR,-5.0943546,-0.87216586,10.997488
Emmanuel Agbadou,Reims,DF,27.0,75f1ed80,CIV,-3.1302497,-2.4610877,10.580072
Romain Del Castillo,Brest,FW,28.0,0be95d34,FRA,-7.790621,-1.568957,13.754411
Mostafa Mohamed,Nantes,FW,26.0,595e6f3e,EGY,-10.121369,1.7283454,13.347163
Florian Tardieu,Saint,MF,32.0,ed39121c,FRA,-5.3000436,-1.2393306,10.516259
Arouna Sangante,Le Havre,DF,22.0,17bb562c,SEN,-3.042467,-1.4358023,9.004445
Abdallah Sima,Brest,"FW,MF",23.0,fdbde523,SEN,-10.073559,1.6059562,12.781583
Tanner Tessmann,Lyon,MF,22.0,ac277993,USA,-5.3664503,-0.62540865,10.273938
Lilian Brassier,Rennes,DF,24.0,5b146df3,FRA,-3.1327808,-2.1774297,10.630506
Falaye Sacko,Montpellier,DF,29.0,6388e356,MLI,-6.8398542,-3.7106605,9.709063
Mika Biereth,Monaco,FW,21.0,a1d95db3,DEN,-9.141729,2.5719993,12.766809
Leo Skiri Østigård,Rennes,DF,24.0,b35a7399,NOR,-3.6609519,-2.0831947,9.048999
Ngal'Ayel Mukau,Lille,MF,19.0,bb461b8a,COD,-6.589326,-0.27795726,10.168074
Shavy Babicka,Toulouse,"MF,FW",24.0,c6f0d5d4,GAB,-9.048006,0.9208178,13.6838
Jordan James,Rennes,MF,20.0,f719ad7f,WAL,-6.3820543,-0.8480642,10.9946995
Christopher Operi,Le Havre,"DF,FW",27.0,914bb955,CIV,-7.5370007,-2.38561,12.925981
Arnaud Nordin,Montpellier,FW,26.0,7b9a9e25,FRA,-9.525189,0.058823116,13.094156
Nhoa Sangui,Reims,"DF,MF",18.0,3f465a66,FRA,-7.2817907,-2.5630765,10.147689
Valentín Barco,Strasbourg,"MF,DF",20.0,b9f282ec,ARG,-5.5901356,-2.595664,10.920534
Issiaga Sylla,Montpellier,DF,30.0,b99bec05,GUI,-7.601612,-3.7005208,10.7823305
Aleksandr Golovin,Monaco,"MF,FW",28.0,3708e9fa,RUS,-6.977694,-0.3396087,11.922576
Ayyoub Bouaddi,Lille,MF,16.0,8006228f,FRA,-7.2482677,-0.32823288,10.051121
Mama Samba Baldé,Brest,FW,28.0,fb14aa28,GNB,-10.012699,1.0792425,13.432331
Mitchel Bakker,Lille,"FW,DF",24.0,a8567629,NED,-7.329903,-1.4246851,12.844022
Tanguy Ndombele,Nice,MF,27.0,5cdddffa,FRA,-7.102284,0.19846773,11.040089
Mory Gbane,Reims,"DF,MF",23.0,ab8b392c,CIV,-4.2126007,-3.2130935,8.899743
Ruben Aguilar,Lens,"DF,MF",31.0,3dd738a1,FRA,-5.8947377,-2.5565424,12.11573
Djaoui Cissé,Rennes,MF,20.0,576ca93f,FRA,-5.663764,-0.30373436,10.43834
Wahbi Khazri,Montpellier,"FW,MF",33.0,2677a1de,TUN,-9.408042,-0.1427193,13.541416
Musa Al-Taamari,Montpellier,"FW,MF",27.0,f15f8b2b,JOR,-8.821038,0.6087194,13.480972
Timothee Pembele,Le Havre,DF,21.0,f8ce97ca,FRA,-7.2845216,-3.2538612,9.713823
Jaydee Canvot,Toulouse,"DF,MF",18.0,3684108d,FRA,-5.324856,-2.126907,9.277437
Edimilson Fernandes,Brest,"MF,DF",28.0,3bb625ac,SUI,-5.1970315,-2.4800875,9.266886
Badredine Bouanani,Nice,"MF,FW",19.0,0400dd2f,ALG,-7.766119,0.20023157,13.032918
Abner,Lyon,DF,24.0,7f9c5d2d,BRA,-6.282224,-2.2870872,11.655885
Kevin Danso,Lens,DF,25.0,6e33125f,AUT,-3.598388,-2.051821,10.045095
Akor Adams,Montpellier,FW,24.0,2ccd39ed,NGA,-10.0568495,1.3969668,13.8067045
Gonçalo Ramos,Paris S,FW,23.0,f63cda26,POR,-8.530043,2.41135,13.260616
Matias Fernandez-Pardo,Lille,"FW,MF",19.0,0cdb6a2a,BEL,-8.507263,0.48422292,13.997263
Sofiane Diop,Nice,"MF,FW",24.0,19053e31,FRA,-7.233453,0.14536229,13.107266
Irvin Cardona,Saint,FW,26.0,5e080f73,MLT,-9.317137,1.2657529,12.474952
Rassoul Ndiaye,Le Havre,MF,22.0,36f65bdf,SEN,-8.127522,-1.490944,9.830004
Jeremie Boga,Nice,"MF,FW",27.0,fe012aca,CIV,-7.7218866,0.16022953,13.715087
Ernest Nuamah,Lyon,"FW,MF",20.0,234a703c,GHA,-8.549213,-0.17139508,12.741598
Amine Gouiri,Marseille,"FW,MF",24.0,aad56ca3,ALG,-8.438034,0.16895105,14.092438
Han-Noah Massengo,Auxerre,MF,23.0,eba1e557,FRA,-6.9734063,-1.2758617,9.419456
Angelo Fulgini,Lens,"MF,FW",27.0,4b96c347,FRA,-7.0480995,-1.1064726,13.464865
Louis Mouton,Saint,MF,22.0,c37823fe,FRA,-7.3367095,-0.25079265,10.31798
