player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2
Youssouf Ndayishimiye,Nice,DF,25.0,65c55288,BDI,-2.0831969,-12.02066
Caio Henrique Oliveira Silva,Monaco,DF,27.0,30af8b93,BRA,-3.2555106,-15.458151
Thomas Meunier,Lille,DF,32.0,e162b013,BEL,-3.98925,-15.041246
Fabián Ruiz Peña,Paris S,MF,28.0,c0c7ff58,ESP,-2.4823234,-13.95694
Issa Soumaré,Le Havre,"FW,MF",23.0,1d8aa290,SEN,-1.6558892,-17.636705
Nicolás Tagliafico,Lyon,DF,31.0,f0661424,ARG,-3.9631932,-14.797866
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,c2a6033c,MAR,-0.7495502,-17.729078
Enzo Tchato,Montpellier,DF,21.0,7f783431,CMR,-5.6628733,-14.9467325
Farid El Melali,Angers,FW,27.0,d21e361a,ALG,-2.1078541,-16.784674
Joris Chotard,Montpellier,MF,22.0,7909ffa4,FRA,-4.646383,-12.889211
Lucas Stassin,Saint,FW,19.0,a47d6f3a,BEL,-0.9095153,-17.696058
João Neves,Paris S,"MF,DF",19.0,c2a15a27,POR,-2.5580347,-13.807944
Breel Embolo,Monaco,"FW,MF",27.0,0b4f388a,SUI,-0.40919757,-17.406363
Gaëtan Laborde,Nice,FW,30.0,7cdda3bf,FRA,-0.66410774,-17.31696
Deiver Machado,Lens,"DF,MF",30.0,b3f8bdef,COL,-5.0851016,-15.242888
Becir Omeragic,Montpellier,DF,22.0,c284d6fb,SUI,-2.1664367,-10.40578
Florian Sotoca,Lens,"FW,MF",33.0,7a42d0df,FRA,-2.5050914,-15.478203
Haris Belkebla,Angers,MF,30.0,2b1bed19,ALG,-4.549661,-13.262288
Gabriel Gudmundsson,Lille,DF,25.0,d5d22a58,SWE,-4.4065533,-15.4531145
Félix Lemaréchal,Strasbourg,"MF,FW",20.0,8ca9415f,FRA,-2.6986713,-15.699311
Pablo Rosario,Nice,"MF,DF",27.0,1a6b7ea4,DOM,-4.433343,-13.43727
Jordan Ferri,Montpellier,MF,32.0,375622c5,FRA,-3.2145104,-13.185869
Benjamin Bouchouari,Saint,MF,22.0,599f9013,MAR,-3.351101,-13.86669
Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,e2ae54db,ISL,-2.3631036,-15.882501
Jim Allevinah,Angers,FW,29.0,1956b948,GAB,-1.6257415,-17.477371
Eliesse Ben Seghir,Monaco,"MF,FW",19.0,3bd65247,MAR,-1.7112255,-15.939353
Aïssa Mandi,Lille,DF,32.0,fbd6378b,ALG,-2.662058,-12.709001
Ousmane Dembélé,Paris S,FW,27.0,b19db005,FRA,-1.6695257,-16.060003
Désiré Doué,Paris S,"FW,MF",19.0,9e7483ff,FRA,-1.6617942,-15.770819
Marquinhos,Paris S,DF,30.0,d5f2f82b,BRA,-1.961004,-12.668188
Abdoulaye Niakhate Ndiaye,Brest,DF,22.0,b8cd2ae4,SEN,-2.7994943,-10.91237
Joseph Okumu,Reims,DF,27.0,039f1983,KEN,-1.7321296,-11.529343
Marshall Munetsi,Reims,MF,28.0,2acf0cd7,ZIM,-1.4530013,-18.283033
Rabby Nzingoula,Montpellier,MF,18.0,627c7a3d,FRA,-4.9563193,-13.633032
Hans Hateboer,Rennes,DF,30.0,3b333ac3,NED,-2.86436,-12.582539
Massadio Haïdara,Brest,DF,31.0,5167c97e,MLI,-5.246312,-14.99097
Nuno Mendes,Paris S,DF,22.0,f20e4cc9,POR,-2.29919,-13.93591
Joshua King,Toulouse,"FW,MF",32.0,43458538,NOR,-0.9995012,-17.842112
Lee Kang-in,Paris S,"FW,MF",23.0,8455ad90,KOR,-2.1191695,-15.338005
Gabriel Osho,Auxerre,DF,25.0,cd889153,NGA,-2.2525148,-10.595039
Esteban Lepaul,Angers,FW,24.0,85ce1949,FRA,-0.7501209,-18.027252
Oumar Diakité,Reims,FW,20.0,44435c8f,CIV,-1.1211162,-17.676617
Mohamed Ali Cho,Nice,"FW,MF",20.0,f8405304,FRA,-1.4862956,-16.748722
Quentin Merlin,Marseille,DF,22.0,0bfca6a1,FRA,-2.931402,-15.177552
Malick Fofana,Lyon,FW,19.0,8236f673,BEL,-1.605267,-16.402506
Neil El Aynaoui,Lens,MF,23.0,17e1261b,MAR,-3.5737643,-14.623981
Duje Ćaleta-Car,Lyon,DF,27.0,94f8d10c,CRO,-2.2888741,-11.388345
Mathias Pereira Lage,Brest,"FW,MF",27.0,8846a40f,POR,-2.6011462,-16.47312
Valentin Rongier,Marseille,"MF,DF",29.0,ed45c4a5,FRA,-2.3469157,-13.672156
Jordan Veretout,Lyon,MF,31.0,4a56052c,FRA,-3.1573925,-13.652444
Pierre Lees-Melou,Brest,MF,31.0,f5044e54,FRA,-3.085158,-13.632943
Yassin Belkhdim,Angers,MF,22.0,e21d1928,FRA,-4.7955475,-13.321678
Frank Magri,Toulouse,"FW,MF",24.0,42fdb11d,CMR,-0.8214812,-18.154005
Nathan Zeze,Nantes,DF,19.0,fb4c5b6e,FRA,-2.185141,-10.888019
Abdoulaye Bamba,Angers,DF,34.0,7fecbcdb,CIV,-1.962209,-10.46979
Christian Mawissa,Monaco,DF,19.0,2c70d915,FRA,-2.8612742,-11.689951
Tanguy Coulibaly,Montpellier,"FW,MF",23.0,05ba9d7c,FRA,-2.0124848,-17.521643
M'Bala Nzola,Lens,FW,27.0,a4948e67,ANG,-0.42148957,-17.60982
Kévin Danois,Auxerre,MF,20.0,e76f6fbe,FRA,-3.7373276,-13.844783
Christopher Wooh,Rennes,DF,22.0,b003239d,CMR,-2.3766346,-11.086395
André Ayew,Le Havre,FW,34.0,5dbefa9d,GHA,-1.0090209,-18.158525
Georges Mikautadze,Lyon,FW,23.0,4788cb6b,GEO,-0.7992449,-17.113262
Derek Cornelius,Marseille,DF,26.0,577744b8,CAN,-2.3160708,-12.15699
Anass Zaroury,Lens,"FW,MF",23.0,07d65234,MAR,-2.9425597,-16.04244
