player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,19.292082,5.6898966,1.1961627
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,14.383927,10.098691,4.813608
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,20.65279,8.206199,1.1187456
Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA,16.357164,7.3680544,4.8422875
Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL,18.714336,6.692329,2.824118
Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV,20.282295,6.010812,0.9448691
Jonathan David,Lille,FW,24.0,ce50fd99,CAN,20.622025,8.345456,0.86077714
Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG,15.301927,7.2776275,4.3487973
Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP,18.358292,8.965826,3.4067032
Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA,18.187275,5.849275,1.2592982
Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA,14.862516,9.554653,4.7712593
Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA,21.935062,7.9629936,2.2085507
Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV,15.675986,9.876862,4.8722854
Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA,18.260235,6.255766,3.2608085
Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN,17.928293,8.87703,3.4280639
Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN,15.664992,7.417244,3.6596863
Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG,18.394588,6.8431463,4.2524014
Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA,15.030173,10.345138,4.736109
Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA,18.781218,5.0651536,1.6607056
Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI,16.78274,7.066535,3.9136534
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,13.908068,7.680566,4.79898
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,15.088755,7.9376383,4.188333
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,13.548964,8.876067,4.636064
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,17.046396,6.4080024,2.3008354
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,18.290318,7.1654453,2.7872756
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,18.86331,7.1355658,3.1694303
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,15.875295,6.977223,4.4205947
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,18.57804,7.817335,5.1591396
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,19.939493,5.4942675,1.6084191
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,16.745035,5.8447485,3.95016
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,17.495876,7.2898355,4.148256
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,18.057983,8.146288,5.0423064
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,14.061938,10.113335,4.617373
Douglas,Nantes,MF,27.0,301c287b,BRA,17.463867,7.5759015,4.851023
