UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
16.21392,10.424651,5.915855,6.9253335,6.907902,Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN
15.327948,13.308735,6.9569826,5.422398,7.838786,Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA
15.076952,9.27977,6.368096,7.057166,6.2458315,Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA
15.306871,9.189079,5.4975924,5.5510716,6.181639,Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA
14.514216,10.293879,4.463294,6.336453,6.6451344,Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA
15.441882,8.899516,6.475797,6.8846846,5.88361,Carlens Arcus,Angers,DF,28.0,5e837126,HAI
15.647742,9.009188,5.2470994,5.4201417,6.418345,Vitinha,Paris S,MF,24.0,3b029691,POR
16.85186,11.286175,6.0258307,6.480643,6.7807493,Rayan Cherki,Lyon,"FW,MF",20.0,b34c63a5,FRA
14.729329,8.182826,6.0774074,5.0291038,6.174819,Geoffrey Kondogbia,Marseille,"DF,MF",31.0,cce181df,CTA
12.846143,8.0212755,6.387764,4.274987,6.7515807,Nicolas Pallois,Nantes,DF,36.0,779847d6,FRA
13.02144,8.083713,6.502055,4.2101693,7.1781573,Dylan Batubinsika,Saint,DF,28.0,37d39918,COD
15.028374,7.707301,6.2501707,5.2230296,5.9311996,Lucas Beraldo,Paris S,DF,20.0,b8aedf06,BRA
14.778189,8.948439,5.4896493,5.3181324,6.635715,Nemanja Matić,Lyon,MF,35.0,eb7822d7,SRB
15.80659,12.644016,6.081877,5.8926225,7.701849,Josué Casimir,Le Havre,"FW,MF",22.0,481f76cf,FRA
16.105337,9.117972,5.8252087,6.777437,5.918158,Ainsley Maitland-Niles,Lyon,DF,26.0,e3a5814e,ENG
15.1724205,9.156927,6.568604,6.500689,6.1144156,Aurélio Buta,Reims,DF,27.0,b4705807,POR
14.100703,8.046563,6.131927,4.886388,6.7041035,Dante,Nice,DF,40.0,fd2bc67d,BRA
14.427567,10.054182,4.3588657,6.284453,6.439916,Jean-Eudes Aholou,Angers,MF,30.0,48b28bfd,CIV
12.799718,7.8184533,6.6182566,4.3772626,6.9405713,Sinaly Diomande,Auxerre,DF,23.0,6de23ab0,CIV
15.4586735,9.058655,6.66935,6.781386,6.5031037,Melvin Bard,Nice,"DF,MF",23.0,1ddbc7ca,FRA
13.704656,7.897491,6.205997,4.5861516,6.145014,Youssouf Ndayishimiye,Nice,DF,25.0,65c55288,BDI
16.360544,10.037783,6.259342,6.8248615,6.5821767,Caio Henrique Oliveira Silva,Monaco,DF,27.0,30af8b93,BRA
15.928104,8.985697,5.734118,6.314715,5.9576445,Thomas Meunier,Lille,DF,32.0,e162b013,BEL
15.727174,9.371863,5.235342,5.6803355,6.4922466,Fabián Ruiz Peña,Paris S,MF,28.0,c0c7ff58,ESP
15.779682,13.166454,5.883789,5.7848334,7.6289167,Issa Soumaré,Le Havre,"FW,MF",23.0,1d8aa290,SEN
14.931952,9.538158,5.35108,6.6271887,6.0342803,Nicolás Tagliafico,Lyon,DF,31.0,f0661424,ARG
15.787018,13.269624,6.6463847,5.700438,7.557437,Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,c2a6033c,MAR
15.528119,8.864901,6.75095,6.928772,5.936491,Enzo Tchato,Montpellier,DF,21.0,7f783431,CMR
15.509043,11.717041,6.01788,6.1928616,7.9965696,Farid El Melali,Angers,FW,27.0,d21e361a,ALG
13.795233,9.443175,5.0524387,5.359236,7.0210166,Joris Chotard,Montpellier,MF,22.0,7909ffa4,FRA
15.422844,13.193175,6.6371512,5.5708227,7.7612233,Lucas Stassin,Saint,FW,19.0,a47d6f3a,BEL
15.561431,9.446305,5.3165913,5.992402,6.155306,João Neves,Paris S,"MF,DF",19.0,c2a15a27,POR
15.71371,13.278086,6.457344,5.469293,7.8735557,Breel Embolo,Monaco,"FW,MF",27.0,0b4f388a,SUI
15.428139,13.379229,7.024027,5.824065,8.0217085,Gaëtan Laborde,Nice,FW,30.0,7cdda3bf,FRA
15.325461,9.49169,6.6435175,6.7721252,6.798462,Deiver Machado,Lens,"DF,MF",30.0,b3f8bdef,COL
12.4412365,8.245774,6.2321944,4.2262106,7.4922624,Becir Omeragic,Montpellier,DF,22.0,c284d6fb,SUI
15.2226,11.319947,5.809851,5.7365456,7.6475534,Florian Sotoca,Lens,"FW,MF",33.0,7a42d0df,FRA
13.599432,9.768941,4.7893715,5.729078,6.881236,Haris Belkebla,Angers,MF,30.0,2b1bed19,ALG
15.571623,9.457191,6.365769,6.3250766,6.254922,Gabriel Gudmundsson,Lille,DF,25.0,d5d22a58,SWE
15.117214,11.458371,5.444915,5.7364736,7.650802,Félix Lemaréchal,Strasbourg,"MF,FW",20.0,8ca9415f,FRA
13.593331,9.693553,4.819855,5.0010123,7.254655,Pablo Rosario,Nice,"MF,DF",27.0,1a6b7ea4,DOM
14.668738,9.221397,4.819658,5.526192,6.693051,Jordan Ferri,Montpellier,MF,32.0,375622c5,FRA
14.749249,9.88584,4.9391346,5.598311,6.866396,Benjamin Bouchouari,Saint,MF,22.0,599f9013,MAR
14.998754,11.149057,6.029221,5.959047,8.181899,Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,e2ae54db,ISL
15.852191,12.778269,6.133778,5.645103,8.292752,Jim Allevinah,Angers,FW,29.0,1956b948,GAB
16.325666,11.534067,5.791839,6.317155,6.9709854,Eliesse Ben Seghir,Monaco,"MF,FW",19.0,3bd65247,MAR
14.062115,8.815877,5.550147,4.9732194,6.9022846,Aïssa Mandi,Lille,DF,32.0,fbd6378b,ALG
16.636974,11.791223,5.807713,6.071793,7.12094,Ousmane Dembélé,Paris S,FW,27.0,b19db005,FRA
16.6985,12.063746,5.637448,6.648197,7.160573,Désiré Doué,Paris S,"FW,MF",19.0,9e7483ff,FRA
14.831098,7.7881203,5.9729214,5.1860437,6.3695226,Marquinhos,Paris S,DF,30.0,d5f2f82b,BRA
13.107605,8.313889,6.4800873,4.219185,7.072531,Abdoulaye Niakhate Ndiaye,Brest,DF,22.0,b8cd2ae4,SEN
13.5826025,7.934286,6.12746,4.3832107,7.183434,Joseph Okumu,Reims,DF,27.0,039f1983,KEN
13.852418,12.341073,5.3875175,5.5327063,7.9429836,Marshall Munetsi,Reims,MF,28.0,2acf0cd7,ZIM
14.02842,10.309264,4.57966,6.0875034,6.92727,Rabby Nzingoula,Montpellier,MF,18.0,627c7a3d,FRA
14.267574,9.020475,6.0029707,5.5100026,6.71643,Hans Hateboer,Rennes,DF,30.0,3b333ac3,NED
14.921197,9.346809,6.663492,6.5797954,6.895784,Massadio Haïdara,Brest,DF,31.0,5167c97e,MLI
16.272812,9.962664,5.7529116,6.195985,6.3963246,Nuno Mendes,Paris S,DF,22.0,f20e4cc9,POR
15.451747,13.690761,6.6117544,5.658357,7.982639,Joshua King,Toulouse,"FW,MF",32.0,43458538,NOR
16.623093,10.968467,6.0962877,6.681309,7.171809,Lee Kang-in,Paris S,"FW,MF",23.0,8455ad90,KOR
