n_neighbors,min_dist,n_components,trustworthiness,continuity,distance_corr,mrre,composite_score,mse
30,0.5,5,0.9274678678084113,0.9895997294131235,0.6242180171488936,0.5786330769759083,0.7864836192971116,0.12034935305866373
50,0.0,2,0.8855582504248544,0.9878640135953406,0.5806507222760463,0.7786852106982517,0.17266983228476096,0.1988621675749042
50,0.0,3,0.896672111402597,0.9882583444702931,0.565252220901919,0.7628004197648469,0.23655939716128827,0.19542115771517904
50,0.0,5,0.8970004454783943,0.9885470804665973,0.5819161402597801,0.7194704759415514,0.34244746050105457,0.17579298928108256
50,0.1,2,0.8815860680756983,0.9877014964774209,0.6065532477761945,0.7414738859066168,0.23611030221713458,0.1796892456948968
50,0.1,3,0.898072893464667,0.9882228711907473,0.6004333679763328,0.7075077867503274,0.36916944855413325,0.16768714938718457
50,0.1,5,0.9002549126367371,0.9886262766255837,0.5934542470092723,0.6975142589132713,0.4083824025064804,0.16547100867465767
50,0.3,2,0.8813187810391196,0.9878293652757841,0.6192985408157333,0.7144387132445861,0.30057376519987267,0.1673974080228101
50,0.3,3,0.8993161081687538,0.9881783233513175,0.6186015820823446,0.6752745959738108,0.4418256456440398,0.152934382817689
50,0.3,5,0.9079286904585128,0.9888506657427115,0.6100129804720594,0.6510753954936364,0.5407508439007866,0.1461476199281366
50,0.5,2,0.8793760002639872,0.9876841723176426,0.6429891703934987,0.6865327310666163,0.35824265503327435,0.1533714380514811
50,0.5,3,0.8996139187249419,0.9882525697503671,0.6362097199321931,0.6368277425167748,0.5265282206218083,0.13702707723551438
50,0.5,5,0.9125286673596331,0.9890288571004306,0.6276976481215809,0.6122926502676266,0.6508261240920851,0.1303207326990902
