tsne_1,tsne_2,tsne_3,tsne_4,player_name,equipe,positions
1.2641249,0.2869612,-0.16779156,4.591107,Gaëtan Laborde,Nice,FW
-1.7361491,1.7397517,1.3120816,1.3565168,Deiver Machado,Lens,"DF,MF"
-0.57975745,-0.7849874,1.1778514,-3.693057,Becir Omeragic,Montpellier,DF
-0.6044593,0.46742007,-1.2050767,1.2630953,Florian Sotoca,Lens,"FW,MF"
-1.8368094,-0.46224037,-0.21756175,-1.2838244,Haris Belkebla,Angers,MF
-1.7265092,1.5445226,0.065387785,0.12276185,Gabriel Gudmundsson,Lille,DF
-0.28317425,-0.012624993,-1.537606,0.9290575,Félix Lemaréchal,Strasbourg,"MF,FW"
-1.1938183,-0.9889565,-0.9083387,-2.2698154,Pablo Rosario,Nice,"MF,DF"
-1.7469262,0.7290302,-1.6940562,-1.8955215,Jordan Ferri,Montpellier,MF
-1.3479068,0.37824312,-1.5327519,-0.66128296,Benjamin Bouchouari,Saint,MF
0.4401344,1.7272507,-1.3490648,1.5493518,Hákon Arnar Haraldsson,Lille,"MF,FW"
1.0588683,-0.4840603,-1.4617163,3.0297036,Jim Allevinah,Angers,FW
-0.9472186,1.4253155,-2.0904691,2.3050554,Eliesse Ben Seghir,Monaco,"MF,FW"
-1.3073425,1.153097,0.26547065,-2.2167468,Aïssa Mandi,Lille,DF
-1.4636972,1.9189615,-2.7537308,3.2316856,Ousmane Dembélé,Paris S,FW
-0.78875685,1.8174336,-1.4327688,3.7885678,Désiré Doué,Paris S,"FW,MF"
-3.4891055,1.9363956,-0.5658486,-3.2856686,Marquinhos,Paris S,DF
-1.7769647,0.5506493,1.5105022,-3.188422,Abdoulaye Niakhate Ndiaye,Brest,DF
-1.2215892,1.5990196,1.3968735,-3.3666825,Joseph Okumu,Reims,DF
0.32475287,-1.7713081,0.38752583,2.7496488,Marshall Munetsi,Reims,MF
-2.4242387,-0.97500235,-1.4864826,-0.2121243,Rabby Nzingoula,Montpellier,MF
-1.6482885,1.1298468,0.12851574,-1.8093733,Hans Hateboer,Rennes,DF
-1.5781964,1.3300402,1.5884621,1.2387264,Massadio Haïdara,Brest,DF
-2.2208886,2.4632497,-1.3364431,0.06547692,Nuno Mendes,Paris S,DF
1.0436851,-1.0189792,-0.63152933,3.6664252,Joshua King,Toulouse,"FW,MF"
-0.62225264,2.41712,-2.0748796,1.3969069,Lee Kang-in,Paris S,"FW,MF"
-0.12160784,-0.42079148,2.2412827,-2.8218834,Gabriel Osho,Auxerre,DF
1.7188475,-1.7058258,-0.17855601,3.568003,Esteban Lepaul,Angers,FW
1.2609192,-1.5545822,-0.52669203,3.6275685,Oumar Diakité,Reims,FW
0.24305809,0.24886647,-2.0327992,2.7060406,Mohamed Ali Cho,Nice,"FW,MF"
-0.46232235,1.7093683,-0.64886004,0.4342243,Quentin Merlin,Marseille,DF
0.2923709,0.33647576,-2.1810493,2.766388,Malick Fofana,Lyon,FW
-0.60465574,1.8536134,-2.2362814,-0.7180996,Neil El Aynaoui,Lens,MF
-0.77565634,0.023891298,2.1882677,-2.8706293,Duje Ćaleta-Car,Lyon,DF
1.0600204,1.5769676,-2.3694644,0.61723894,Mathias Pereira Lage,Brest,"FW,MF"
-2.5695024,0.696138,-0.9085038,-1.5682347,Valentin Rongier,Marseille,"MF,DF"
-0.6985923,0.38073888,-0.8147135,-1.4348111,Jordan Veretout,Lyon,MF
-1.5840552,1.0807381,-1.4172195,-1.4717306,Pierre Lees-Melou,Brest,MF
-1.0082716,-1.2971432,-0.5545305,-0.544531,Yassin Belkhdim,Angers,MF
1.1275277,-1.877242,0.019349005,3.7236872,Frank Magri,Toulouse,"FW,MF"
-0.94857585,-0.2387396,1.5548056,-2.6749442,Nathan Zeze,Nantes,DF
0.52715445,-0.9344853,2.838517,-2.2036555,Abdoulaye Bamba,Angers,DF
-1.146756,-0.3658468,1.1313226,-2.2631972,Christian Mawissa,Monaco,DF
0.56244296,-2.1542745,-1.4033691,2.335808,Tanguy Coulibaly,Montpellier,"FW,MF"
1.8918425,-1.5526309,-0.65599257,4.2325344,M'Bala Nzola,Lens,FW
-0.8317951,-0.35675082,-1.2943561,-0.18173128,Kévin Danois,Auxerre,MF
-0.808033,-0.5739265,1.438361,-3.7346194,Christopher Wooh,Rennes,DF
1.5142897,-2.0626266,0.5697887,3.079235,André Ayew,Le Havre,FW
1.1954273,0.3004664,-0.42430168,4.338207,Georges Mikautadze,Lyon,FW
-0.7102755,1.919635,1.7429901,-3.226504,Derek Cornelius,Marseille,DF
1.4839401,1.7070161,-1.7052833,-0.3180779,Anass Zaroury,Lens,"FW,MF"
-0.54077715,0.59608907,-0.07766824,0.5942131,Ali Abdi,Nice,"DF,MF"
-0.6883368,1.5602129,-0.40647405,0.17189841,Przemysław Frankowski,Lens,DF
0.018592086,0.6402445,1.121735,-2.9755845,Malang Sarr,Lens,DF
-0.44623515,-0.57653004,1.254809,-3.9146645,Julien Le Cardinal,Brest,DF
